lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
year 682 612 238.88 107.18 431.33 204.72 76.11 POSKW
shit 90 8 31.52 1.4 32.67 148.82 182.98 POSKW
thanks 86 22 30.12 3.85 36.0 97.62 154.64 POSKW
guy 197 137 69.0 23.99 111.33 91.77 96.8 POSKW
reason 150 88 52.54 15.41 79.33 87.35 109.28 POSKW
girl 171 113 59.89 19.79 94.67 85.58 100.66 POSKW
heart 98 38 34.33 6.65 45.33 85.01 135.04 POSKW
man 111 55 38.88 9.63 55.33 77.64 120.58 POSKW
issue 92 40 32.22 7.01 44.0 72.64 128.57 POSKW
today 158 120 55.34 21.02 92.67 64.29 89.91 POSKW
fact 91 49 31.87 8.58 46.67 58.4 115.15 POSKW
month 203 187 71.1 32.75 130.0 57.68 73.86 POSKW
post 123 92 43.08 16.11 71.67 51.3 91.12 POSKW
end 101 67 35.38 11.73 56.0 50.28 100.37 POSKW
love 169 155 59.19 27.15 108.0 48.47 74.24 POSKW
school 241 275 84.41 48.16 172.0 39.45 54.69 POSKW
fun 114 97 39.93 16.99 70.33 38.01 80.62 POSKW
college 133 127 46.58 22.24 86.67 34.92 70.74 POSKW
parent 144 143 50.44 25.04 95.67 34.5 67.29 POSKW
woman 115 105 40.28 18.39 73.33 33.3 74.63 POSKW
loner 103 94 36.08 16.46 65.67 29.85 74.67 POSKW
experience 115 114 40.28 19.96 76.33 27.67 67.44 POSKW
anxiety 111 109 38.88 19.09 73.33 27.32 68.28 POSKW
care 87 77 30.47 13.49 54.67 26.86 77.29 POSKW
depression 87 82 30.47 14.36 56.33 23.52 71.88 POSKW
situation 100 102 35.03 17.86 67.33 22.43 64.9 POSKW
matter 87 85 30.47 14.89 57.33 21.67 68.73 POSKW
house 87 86 30.47 15.06 57.67 21.08 67.69 POSKW
week 170 212 59.54 37.13 127.33 20.51 46.38 POSKW
problem 146 176 51.14 30.82 107.33 19.93 49.57 POSKW
health 91 94 31.87 16.46 61.67 19.76 63.77 POSKW
lot 290 422 101.58 73.91 237.33 16.98 31.54 POSKW
