lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
kind 583 417 204.2 73.03 333.33 260.53 94.63 POSKW
top 120 34 42.03 5.95 51.33 128.65 150.36 POSKW
idea 210 155 73.56 27.15 121.67 89.43 92.17 POSKW
way 614 738 215.06 129.25 450.67 84.68 49.85 POSKW
lot 351 361 122.94 63.22 237.33 77.07 64.16 POSKW
relationship 366 406 128.2 71.1 257.33 65.28 57.29 POSKW
school 256 260 89.67 45.53 172.0 58.03 65.28 POSKW
everything 566 758 198.25 132.75 441.33 50.8 39.58 POSKW
loneliness 441 581 154.47 101.75 340.67 42.57 41.15 POSKW
bit 230 254 80.56 44.48 161.33 41.56 57.7 POSKW
support 88 64 30.82 11.21 50.67 38.34 93.33 POSKW
year 536 758 187.74 132.75 431.33 36.81 34.32 POSKW
girlfriend 107 92 37.48 16.11 66.33 34.97 79.74 POSKW
mom 89 70 31.17 12.26 53.0 34.17 87.1 POSKW
parent 143 144 50.09 25.22 95.67 33.11 66.05 POSKW
pain 95 79 33.27 13.84 58.0 33.06 82.53 POSKW
love 155 169 54.29 29.6 108.0 29.06 58.87 POSKW
place 281 371 98.42 64.97 217.33 26.87 40.94 POSKW
experience 114 115 39.93 20.14 76.33 26.28 65.89 POSKW
thing 673 1049 235.73 183.71 574.0 24.96 24.8 POSKW
time 933 1523 326.8 266.73 818.67 23.45 20.24 POSKW
interest 122 134 42.73 23.47 85.33 22.4 58.2 POSKW
health 92 93 32.22 16.29 61.67 21.1 65.7 POSKW
college 122 138 42.73 24.17 86.67 20.52 55.5 POSKW
woman 105 115 36.78 20.14 73.33 19.44 58.46 POSKW
partner 164 206 57.44 36.08 123.33 19.25 45.69 POSKW
anxiety 104 116 36.43 20.32 73.33 18.25 56.79 POSKW
loner 94 103 32.92 18.04 65.67 17.38 58.42 POSKW
thought 208 288 72.85 50.44 165.33 15.93 36.36 POSKW
age 105 123 36.78 21.54 76.0 15.8 52.25 POSKW
kid 132 170 46.23 29.77 100.67 14.03 43.32 POSKW
space 127 163 44.48 28.55 96.67 13.68 43.65 POSKW
game 107 133 37.48 23.29 80.0 13.07 46.69 POSKW
nothing 392 627 137.3 109.81 339.67 11.82 22.25 POSKW
feeling 319 509 111.73 89.14 276.0 9.82 22.49 POSKW
fun 92 119 32.22 20.84 70.33 9.6 42.9 POSKW
anyone 922 1627 322.94 284.94 849.67 9.11 12.5 POSKW
advice 113 156 39.58 27.32 89.67 8.78 36.65 POSKW
anything 401 672 140.46 117.69 357.67 7.73 17.64 POSKW
guy 135 199 47.29 34.85 111.33 7.32 30.28 POSKW
emptiness 90 126 31.52 22.07 72.0 6.52 35.29 POSKW
stuff 195 315 68.3 55.17 170.0 5.39 21.28 POSKW
friend 1215 2243 425.57 392.82 1152.67 5.01 8.0 POSKW
girl 112 172 39.23 30.12 94.67 4.63 26.26 POSKW
something 666 1211 233.27 212.08 625.67 3.86 9.52 POSKW
conversation 264 1775 92.47 310.86 679.67 447.86 -108.29 NEGKW
chat 93 880 32.57 154.12 324.33 304.46 -130.21 NEGKW
talk 110 800 38.53 140.11 303.33 219.45 -113.73 NEGKW
text 105 767 36.78 134.33 290.67 211.34 -114.02 NEGKW
message 198 991 69.35 173.56 396.33 167.78 -85.8 NEGKW
silence 121 651 42.38 114.01 257.33 123.35 -91.6 NEGKW
people 1411 3900 494.22 683.01 1770.33 113.74 -32.07 NEGKW
group 253 1000 88.62 175.13 417.67 106.19 -65.6 NEGKW
home 256 964 89.67 168.83 406.67 90.7 -61.25 NEGKW
work 197 779 69.0 136.43 325.33 82.81 -65.64 NEGKW
night 134 591 46.94 103.5 241.67 79.67 -75.2 NEGKW
everyone 603 1641 211.21 287.39 748.0 43.75 -30.56 NEGKW
nobody 100 381 35.03 66.73 160.33 36.95 -62.31 NEGKW
day 534 1412 187.04 247.29 648.67 31.43 -27.74 NEGKW
life 1042 2538 364.97 444.48 1193.33 29.46 -19.65 NEGKW
plan 121 409 42.38 71.63 176.67 28.09 -51.31 NEGKW
room 120 397 42.03 69.53 172.33 25.37 -49.29 NEGKW
interaction 89 305 31.17 53.42 131.33 21.89 -52.59 NEGKW
