Im	NP	Im
a	DT	a
teenager	NN	teenager
who	WP	who
used	VBD	use
to	TO	to
have	VB	have
a	DT	a
good	JJ	good
amount	NN	amount
of	IN	of
friends	NNS	friend
,	,	,
a	DT	a
trio	NN	trio
,	,	,
a	DT	a
childhood	NN	childhood
friend	NN	friend
,	,	,
and	CC	and
around	RB	around
3-4	CD	@card@
guys	NNS	guy
I	PP	I
was	VBD	be
close	JJ	close
to	TO	to
and	CC	and
would	MD	would
hangout	NNS	hangout
out	RB	out
of	IN	of
school	NN	school
times	NNS	time
.	SENT	.
Lately	RB	lately
I	PP	I
've	VBP	have
lost	VBN	lose
almost	RB	almost
all	RB	all
of	IN	of
these	DT	these
.	SENT	.
The	DT	the
trio	NN	trio
seems	VBZ	seem
distant	JJ	distant
,	,	,
the	DT	the
childhood	NN	childhood
friend	NN	friend
chose	VBD	choose
someone	NN	someone
else	RB	else
over	IN	over
me	PP	me
and	CC	and
most	JJS	most
of	IN	of
the	DT	the
guys	NNS	guy
,	,	,
hardly	RB	hardly
ever	RB	ever
talk	VB	talk
to	TO	to
them	PP	them
.	SENT	.
It	PP	it
makes	VBZ	make
me	PP	me
feel	VBP	feel
quite	RB	quite
alone	RB	alone
honestly	RB	honestly
.	SENT	.
These	DT	these
days	NNS	day
I	PP	I
see	VBP	see
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
and	CC	and
their	PP$	their
friendships	NNS	friendship
and	CC	and
I	PP	I
am	VBP	be
just	RB	just
lonely	JJ	lonely
,	,	,
I	PP	I
wanna	VBP	wanna
be	VB	be
able	JJ	able
to	TO	to
accept	VB	accept
this	DT	this
but	CC	but
how	WRB	how
?	SENT	?
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
.	SENT	.
I	PP	I
did	VBD	do
try	VB	try
to	TO	to
salvage	VB	salvage
all	DT	all
of	IN	of
these	DT	these
but	CC	but
all	DT	all
of	IN	of
them	PP	them
hardly	RB	hardly
care	VBP	care
about	IN	about
me	PP	me
so	IN	so
its	PP$	its
not	RB	not
point	VB	point
they	PP	they
all	RB	all
have	VBP	have
new	JJ	new
friends	NNS	friend
whom	WP	whom
they	PP	they
prioritize	VBP	<unknown>
more	RBR	more
and	CC	and
I	PP	I
am	VBP	be
just	RB	just
kind	JJ	kind
of	IN	of
down	RB	down
about	IN	about
all	PDT	all
this	DT	this
.	SENT	.
