my	PP$	my
mom	NN	mom
is	VBZ	be
asking	VBG	ask
a	DT	a
lot	NN	lot
of	IN	of
questions	NNS	question
when	WRB	when
will	MD	will
i	NNS	i
find	VB	find
a	DT	a
partner	NN	partner
like	IN	like
girlfriend	NN	girlfriend
the	DT	the
typical	JJ	typical
ans	NN	<unknown>
i	NNS	i
just	RB	just
hate	VBP	hate
it	PP	it
it	PP	it
makes	VBZ	make
me	PP	me
feel	VBP	feel
guilty	RB	guilty
for	IN	for
being	VBG	be
alone	RB	alone
and	CC	and
also	RB	also
stessed	VBN	<unknown>
because	IN	because
i	NP	i
dont	NN	<unknown>
have	VBP	have
any	DT	any
crush	NN	crush
and	CC	and
i	NP	i
doubt	NN	doubt
id	NN	id
be	VB	be
even	RB	even
have	VB	have
a	DT	a
chance	NN	chance
with	IN	with
most	JJS	most
girls	NNS	girl
:/	NN	<unknown>
