Hi	UH	hi
,	,	,
I	PP	I
’m	NN	<unknown>
a	DT	a
27F	NN	<unknown>
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
feeling	VBG	feel
lonely	JJ	lonely
for	IN	for
years	NNS	year
.	SENT	.
A	DT	a
year	NN	year
ago	RB	ago
,	,	,
I	PP	I
moved	VBD	move
to	TO	to
a	DT	a
new	JJ	new
country	NN	country
thinking	VBG	think
I	PP	I
’d	MD	will
feel	VB	feel
more	RBR	more
comfortable	JJ	comfortable
and	CC	and
happier	JJR	happy
here	RB	here
but	CC	but
I	PP	I
still	RB	still
feel	VBP	feel
the	DT	the
same💔	NN	<unknown>
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
anyone	NN	anyone
here	RB	here
;	:	;
no	DT	no
family	NN	family
,	,	,
no	DT	no
friends	NNS	friend
,	,	,
no	DT	no
partner	NN	partner
,	,	,
no	RB	no
one	CD	one
.	SENT	.
The	DT	the
only	JJ	only
thing	NN	thing
different	JJ	different
from	IN	from
being	VBG	be
in	IN	in
my	PP$	my
home	NN	home
country	NN	country
is	VBZ	be
that	IN	that
I	PP	I
have	VBP	have
a	DT	a
job	NN	job
but	CC	but
it	PP	it
does	VBZ	do
n’t	RB	n't
feel	VB	feel
like	IN	like
enough	RB	enough
.	SENT	.
I	PP	I
miss	VBP	miss
my	PP$	my
mom	NN	mom
so	RB	so
much	RB	much
but	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
back	JJ	back
home	NN	home
.	SENT	.
I	PP	I
honestly	RB	honestly
do	VBP	do
n’t	RB	n't
know	VB	know
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
know	VBP	know
life	NN	life
exists	VBZ	exist
,	,	,
but	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
I	PP	I
’ve	VBP	have
ever	RB	ever
really	RB	really
lived	VBD	live
it	PP	it
or	CC	or
that	IN	that
I	PP	I
ever	RB	ever
will	MD	will
.	SENT	.
That	DT	that
’s	VBZ	be
all	DT	all
I	PP	I
wanted	VBD	want
to	TO	to
say	VB	say
.	SENT	.
Thanks	NNS	thanks
for	IN	for
reading	NN	reading
.	SENT	.
