Ok	VB	ok
so	IN	so
I	PP	I
know	VBP	know
if	IN	if
you	PP	you
go	VBP	go
back	RB	back
and	CC	and
read	VB	read
my	PP$	my
past	JJ	past
posts	NNS	post
they	PP	they
’re	VBP	be
sad	JJ	sad
and	CC	and
pathetic	JJ	pathetic
so	RB	so
like	IN	like
there	EX	there
’s	VBZ	be
my	PP$	my
case	NN	case
in	IN	in
point…BUT	NN	<unknown>
I	PP	I
started	VBD	start
talking	VBG	talk
to	TO	to
a	DT	a
counselor	NN	counselor
(	(	(
not	RB	not
a	DT	a
therapist	NN	therapist
I	PP	I
’m	NN	<unknown>
on	IN	on
a	DT	a
waiting	VBG	wait
list	NN	list
here	RB	here
in	IN	in
my	PP$	my
area	NN	area
for	IN	for
that	DT	that
and	CC	and
psychiatry	NN	psychiatry
)	)	)
but	CC	but
she	PP	she
keeps	VBZ	keep
talking	VBG	talk
to	TO	to
me	PP	me
how	WRB	how
I	PP	I
need	VBP	need
to	TO	to
think	VB	think
better	JJR	good
about	IN	about
myself	PP	myself
and	CC	and
speak	VB	speak
better	JJR	good
about	IN	about
myself	PP	myself
.	SENT	.
Now	RB	now
that	IN	that
I	PP	I
’m	NN	<unknown>
dating	VBG	date
i	NP	i
definitely	RB	definitely
have	VBP	have
many	JJ	many
people	NNS	people
telling	VBG	tell
me	PP	me
that	IN	that
often	RB	often
as	IN	as
well	RB	well
or	CC	or
that	IN	that
I	PP	I
just	RB	just
put	VBD	put
myself	PP	myself
down	RP	down
or	CC	or
I	PP	I
’m	NN	<unknown>
negative	JJ	negative
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
even	RB	even
think	VB	think
about	IN	about
it	PP	it
before	IN	before
I	PP	I
talk	VBP	talk
(	(	(
well	RB	well
bc	NN	bc
I	PP	I
never	RB	never
think	VBP	think
before	IN	before
I	PP	I
speak	VBP	speak
bc	NN	bc
I	CD	@card@
’m	NN	<unknown>
a	DT	a
moron	NN	moron
)	)	)
but	CC	but
it	PP	it
’s	VBZ	be
how	WRB	how
I	PP	I
truly	RB	truly
see	VBP	see
myself	PP	myself
.	SENT	.
is	VBZ	be
it	PP	it
negative	JJ	negative
yes	UH	yes
.	SENT	.
but	CC	but
it	PP	it
’s	VBZ	be
like	IN	like
so	RB	so
normal	JJ	normal
at	IN	at
this	DT	this
point	NN	point
that	IN	that
I	PP	I
mean	VBP	mean
it	PP	it
is	VBZ	be
what	WP	what
it	PP	it
is	VBZ	be
?	SENT	?
Almost	RB	almost
like	IN	like
really	RB	really
depressed	JJ	depressed
and	CC	and
hating	VBG	hate
myself	PP	myself
is	VBZ	be
my	PP$	my
base	NN	base
line	NN	line
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
at	IN	at
my	PP$	my
pcp	NN	<unknown>
and	CC	and
we	PP	we
were	VBD	be
talking	VBG	talk
how	WRB	how
I	PP	I
answered	VBD	answer
3	CD	@card@
’s	VBZ	be
across	IN	across
the	DT	the
board	NN	board
(	(	(
iykyk	NP	<unknown>
)	)	)
and	CC	and
I	PP	I
just	RB	just
told	VBD	tell
him	PP	him
it	PP	it
’s	VBZ	be
just	RB	just
my	PP$	my
normal	JJ	normal
so	IN	so
I	PP	I
do	VBP	do
n’t	RB	n't
even	RB	even
care	VB	care
anymore	RB	anymore
.	SENT	.
If	IN	if
I	PP	I
was	VBD	be
n’t	RB	n't
so	RB	so
panicked	VBN	panic
about	IN	about
making	VBG	make
money	NN	money
right	RB	right
now	RB	now
I	PP	I
know	VBP	know
he	PP	he
would	MD	would
have	VB	have
302	CD	@card@
’d	MD	will
my	PP$	my
ass	NN	ass
.	SENT	.
But	CC	but
I	PP	I
’m	NN	<unknown>
just	RB	just
trying	VBG	try
so	RB	so
hard	JJ	hard
to	TO	to
catch	VB	catch
up	RP	up
and	CC	and
ca	MD	ca
n’t	RB	n't
afford	VB	afford
missing	JJ	missing
work	NN	work
.	SENT	.
But	CC	but
yea	RB	yea
I	PP	I
know	VBP	know
people	NNS	people
say	VBP	say
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
a	DT	a
lone	JJ	lone
until	IN	until
you	PP	you
love	VBP	love
yourself	PP	yourself
but	CC	but
like	IN	like
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
I	PP	I
can	MD	can
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
see	VB	see
these	DT	these
positives	NNS	positive
people	NNS	people
say	VBP	say
they	PP	they
see	VBP	see
.	SENT	.
I	PP	I
really	RB	really
do	VBP	do
n’t	RB	n't
believe	VB	believe
they	PP	they
’re	VBP	be
real	JJ	real
or	CC	or
even	RB	even
there	RB	there
.	SENT	.
