Hi	NP	Hi
everyone	NN	everyone
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
depressing	JJ	depressing
post	NN	post
but	CC	but
I	PP	I
needed	VBD	need
to	TO	to
vent	VB	vent
.	SENT	.
My	PP$	my
first	JJ	first
kiss	NN	kiss
was	VBD	be
five	CD	five
years	NNS	year
ago	RB	ago
(	(	(
I	PP	I
was	VBD	be
very	RB	very
intoxicated	VBN	intoxicate
and	CC	and
kissed	VBN	kiss
three	CD	three
people	NNS	people
that	DT	that
night	NN	night
)	)	)
but	CC	but
I	PP	I
have	VBP	have
n’t	RB	n't
kissed	VBN	kiss
or	CC	or
had	VBD	have
any	DT	any
affection	NN	affection
since	RB	since
.	SENT	.
I	PP	I
have	VBP	have
been	VBN	be
through	IN	through
college	NN	college
and	CC	and
been	VBN	be
on	IN	on
dates	NNS	date
,	,	,
but	CC	but
there	RB	there
seemed	VBD	seem
to	TO	to
be	VB	be
no	DT	no
interest	NN	interest
on	IN	on
anyone	NN	anyone
’s	POS	's
part	NN	part
.	SENT	.
I	PP	I
feel	VBP	feel
awkward	JJ	awkward
as	RB	as
if	IN	if
I	PP	I
cannot	MD	can
initiate	VB	initiate
it	PP	it
,	,	,
especially	RB	especially
since	IN	since
I	PP	I
felt	VBD	feel
so	RB	so
out	RB	out
of	IN	of
control	VB	control
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
did	VBD	do
express	JJ	express
affection	NN	affection
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
any	DT	any
advice	NN	advice
how	WRB	how
to	TO	to
get	VB	get
over	IN	over
this	DT	this
pls	NNS	<unknown>
let	VBP	let
me	PP	me
know	VBP	know
,	,	,
idc	NN	<unknown>
if	IN	if
it	PP	it
is	VBZ	be
harsh	JJ	harsh
or	CC	or
not	RB	not
,	,	,
I	PP	I
probably	RB	probably
need	VBP	need
it	PP	it
.	SENT	.
