Hi	UH	hi
my	PP$	my
name	NN	name
is	VBZ	be
muki	NP	<unknown>
.	SENT	.
I	PP	I
am	VBP	be
a	DT	a
huge	JJ	huge
introvert	NN	introvert
with	IN	with
a	DT	a
hint	NN	hint
of	IN	of
social	JJ	social
anxiety	NN	anxiety
.	SENT	.
I	PP	I
’m	NN	<unknown>
black	JJ	black
from	IN	from
America	NP	America
.	SENT	.
I	PP	I
love	VBP	love
tv	NN	tv
shows	NNS	show
and	CC	and
movies	NNS	movie
so	RB	so
much	RB	much
that	IN	that
I	PP	I
do	VBP	do
a	DT	a
YouTube	NP	<unknown>
channel	NN	channel
for	IN	for
fun	NN	fun
on	IN	on
it	PP	it
called	VBD	call
OC9media	NP	<unknown>
.	SENT	.
I	PP	I
love	VBP	love
to	TO	to
read	VB	read
and	CC	and
write	VB	write
.	SENT	.
I	PP	I
’m	NN	<unknown>
currently	RB	currently
writing	VBG	write
a	DT	a
horror/mystery	NN	<unknown>
.	SENT	.
I	PP	I
like	VBP	like
roblox	NN	<unknown>
and	CC	and
I	PP	I
play	VBP	play
games	NNS	game
on	IN	on
ps5	NN	<unknown>
.	SENT	.
If	IN	if
you	PP	you
down	RB	down
to	TO	to
talk	VB	talk
hit	VB	hit
my	PP$	my
dm	NN	<unknown>
!	SENT	!
Thanks🫶	NP	<unknown>
