Hi	UH	hi
I	PP	I
'm	VBP	be
new	JJ	new
and	CC	and
I	PP	I
've	VBP	have
just	RB	just
discovered	VBN	discover
how	WRB	how
great	JJ	great
it	PP	it
is	VBZ	be
now	RB	now
I	PP	I
can	MD	can
communicate	VB	communicate
with	IN	with
similar	JJ	similar
people	NNS	people
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
say	VB	say
to	TO	to
begin	VB	begin
with	IN	with
I	PP	I
do	VBP	do
have	VB	have
friends	NNS	friend
but	CC	but
does	VBZ	do
anyone	NN	anyone
else	RB	else
feel	VBP	feel
like	IN	like
they	PP	they
are	VBP	be
n't	RB	n't
really	RB	really
your	PP$	your
friends	NNS	friend
or	CC	or
maybe	RB	maybe
you	PP	you
're	VBP	be
just	RB	just
a	DT	a
side	NN	side
character	NN	character
to	TO	to
them	PP	them
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
believe	VBP	believe
it	PP	it
's	VBZ	be
because	IN	because
I	PP	I
like	VBP	like
unorthodox	JJ	unorthodox
shit	NN	shit
and	CC	and
where	WRB	where
I	PP	I
live	VBP	live
being	JJ	being
different	JJ	different
sticks	NNS	stick
out	IN	out
like	IN	like
a	DT	a
sore	JJ	sore
thumb	NN	thumb
,	,	,
so	RB	so
I	PP	I
've	VBP	have
got	VBN	get
no	DT	no
one	CD	one
who	WP	who
really	RB	really
understands	VBZ	understand
where	WRB	where
I	PP	I
come	VBP	come
from	IN	from
and	CC	and
I	PP	I
always	RB	always
feel	VBP	feel
isolated	VBN	isolate
.	SENT	.
I	PP	I
apologise	VBP	apologise
if	IN	if
I	PP	I
've	VBP	have
gone	VBN	go
over	IN	over
board	NN	board
a	DT	a
bit	NN	bit
