Hi	UH	hi
!	SENT	!
Just	RB	just
that	RB	that
,	,	,
I	PP	I
know	VBP	know
how	WRB	how
it	PP	it
feels	VBZ	feel
to	TO	to
be	VB	be
lonely	JJ	lonely
,	,	,
to	TO	to
have	VB	have
no	DT	no
one	CD	one
acknowledging	VBG	acknowledge
your	PP$	your
problems	NNS	problem
,	,	,
I	PP	I
wo	MD	wo
n't	RB	n't
try	VB	try
and	CC	and
solve	VB	solve
them	PP	them
,	,	,
but	CC	but
I	PP	I
'll	MD	will
be	VB	be
there	RB	there
to	TO	to
listen	VB	listen
and	CC	and
talk	VB	talk
if	IN	if
you	PP	you
need	VBP	need
it	PP	it
.	SENT	.
