Hi	UH	hi
,	,	,
I	PP	I
'm	VBP	be
27M	JJ	<unknown>
and	CC	and
im	NP	im
in	IN	in
a	DT	a
group	NN	group
chat	NN	chat
with	IN	with
two	CD	two
of	IN	of
my	PP$	my
friends	NNS	friend
and	CC	and
I	PP	I
'd	MD	will
like	VB	like
to	TO	to
leave	VB	leave
it	PP	it
because	IN	because
they	PP	they
never	RB	never
reply	VB	reply
to	TO	to
my	PP$	my
messages	NNS	message
.	SENT	.
For	IN	for
example	NN	example
,	,	,
I	PP	I
asked	VBD	ask
them	PP	them
if	IN	if
they	PP	they
could	MD	could
meet	VB	meet
up	RP	up
today	NN	today
and	CC	and
neither	RB	neither
of	IN	of
them	PP	them
responded	VBD	respond
.	SENT	.
Furthermore	RB	furthermore
,	,	,
when	WRB	when
I	PP	I
send	VBP	send
them	PP	them
reels	NNS	reel
or	CC	or
ask	VB	ask
for	IN	for
advice	NN	advice
on	IN	on
something	NN	something
,	,	,
they	PP	they
almost	RB	almost
never	RB	never
respond	VB	respond
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
that	IN	that
if	IN	if
I	PP	I
leave	VBP	leave
the	DT	the
group	NN	group
chat	NN	chat
,	,	,
they	PP	they
'll	MD	will
definitely	RB	definitely
write	VB	write
to	TO	to
me	PP	me
,	,	,
"	``	"
why	WRB	why
did	VBD	do
you	PP	you
leave	VBP	leave
the	DT	the
chat	NN	chat
?	SENT	?
"	''	"
and	CC	and
similar	JJ	similar
things	NNS	thing
.	SENT	.
I	PP	I
feel	VBP	feel
so	RB	so
lonely	JJ	lonely
.	SENT	.
I	PP	I
would	MD	would
send	VB	send
you	PP	you
the	DT	the
screenshot	NN	<unknown>
of	IN	of
my	PP$	my
chat	NN	chat
.	SENT	.
There	EX	there
are	VBP	be
only	RB	only
my	PP$	my
messages	NNS	message
.	SENT	.
It	PP	it
's	VBZ	be
like	IN	like
I	PP	I
'm	VBP	be
in	IN	in
a	DT	a
chat	NN	chat
with	IN	with
myself	PP	myself
.	SENT	.
What	WP	what
should	MD	should
I	PP	I
do	VB	do
?	SENT	?
