Hi	NP	Hi
I	NP	I
’m	NN	<unknown>
new	JJ	new
here	IN	here
I	PP	I
never	RB	never
thought	VBD	think
I	PP	I
would	MD	would
post	VB	post
in	IN	in
the	DT	the
internet	NN	Internet
but	CC	but
since	IN	since
it	PP	it
’s	VBZ	be
anonymous	JJ	anonymous
I	PP	I
feel	VBP	feel
more	RBR	more
safe	JJ	safe
.	SENT	.
I	PP	I
’ve	VBP	have
always	RB	always
felt	VBN	feel
alone	RB	alone
despite	IN	despite
having	VBG	have
family	NN	family
.	SENT	.
I	PP	I
have	VBP	have
no	DT	no
friends	NNS	friend
and	CC	and
I	PP	I
have	VBP	have
no	DT	no
love	NN	love
.	SENT	.
I	PP	I
honestly	RB	honestly
wish	VBP	wish
I	PP	I
had	VBD	have
a	DT	a
boyfriend	NN	boyfriend
.	SENT	.
I	PP	I
am	VBP	be
gay	JJ	gay
btw	NNS	<unknown>
so	IN	so
it	PP	it
’s	VBZ	be
hard	JJ	hard
to	TO	to
find	VB	find
someone	NN	someone
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
n’t	RB	n't
actively	RB	actively
been	VBN	be
looking	VBG	look
for	IN	for
something	NN	something
in	IN	in
the	DT	the
past	JJ	past
year	NN	year
.	SENT	.
I	PP	I
just	RB	just
got	VBD	get
disappointed	VBN	disappoint
and	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
gave	VBD	give
up	RP	up
on	IN	on
life	NN	life
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
try	VB	try
again	RB	again
but	CC	but
I	PP	I
am	VBP	be
so	RB	so
scared	VBN	scare
to	TO	to
fail	VB	fail
.	SENT	.
I	PP	I
am	VBP	be
really	RB	really
scared	VBN	scare
of	IN	of
being	VBG	be
a	DT	a
failure	NN	failure
.	SENT	.
I	PP	I
am	VBP	be
a	DT	a
college	NN	college
student	NN	student
and	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
have	VBP	have
n’t	RB	n't
really	RB	really
learned	VBN	learn
anything	NN	anything
.	SENT	.
I	PP	I
am	VBP	be
not	RB	not
smart	JJ	smart
.	SENT	.
I	PP	I
struggle	VBP	struggle
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
try	VB	try
again	RB	again
but	CC	but
I	PP	I
am	VBP	be
really	RB	really
scared	VBN	scare
to	TO	to
fail	VB	fail
.	SENT	.
I	PP	I
