Whatever	WDT	whatever
you	PP	you
say	VBP	say
,	,	,
siblings	NNS	sibling
are	VBP	be
a	DT	a
imp	NN	imp
part	NN	part
of	IN	of
life	NN	life
,	,	,
One	PP	one
lives	VBZ	live
a	DT	a
very	RB	very
boring	JJ	boring
and	CC	and
sad	JJ	sad
life	NN	life
without	IN	without
them	PP	them
.	SENT	.
I	PP	I
am	VBP	be
not	RB	not
in	IN	in
depression	NN	depression
or	CC	or
ever	RB	ever
want	VB	want
to	TO	to
s\*\*\*\*ide	NN	<unknown>
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
that	IN	that
I	PP	I
need	VBP	need
someone	NN	someone
that	IN	that
I	PP	I
can	MD	can
confide	VB	confide
with	IN	with
.	SENT	.
IDK	NN	<unknown>
why	NN	why
but	CC	but
my	PP$	my
mental	JJ	mental
energy	NN	energy
is	VBZ	be
down	RB	down
a	DT	a
bit	NN	bit
since	IN	since
I	PP	I
moved	VBD	move
to	TO	to
a	DT	a
new	JJ	new
city	NN	city
after	IN	after
living	VBG	live
in	IN	in
one	CD	one
for	IN	for
10	CD	@card@
years	NNS	year
.	SENT	.
I	PP	I
dont	VBP	<unknown>
have	VB	have
a	DT	a
good	JJ	good
friend	NN	friend
,	,	,
who	WP	who
I	PP	I
can	MD	can
confide	VB	confide
with	IN	with
.	SENT	.
I	PP	I
wish	VBP	wish
that	IN	that
God	NP	God
helps	VBZ	help
me	PP	me
in	IN	in
this	DT	this
.	SENT	.
