hi	UH	hi
,	,	,
this	DT	this
is	VBZ	be
my	PP$	my
first	JJ	first
time	NN	time
writing	VBG	write
here	RB	here
.	SENT	.
Im	NP	Im
18	CD	@card@
yo	NN	<unknown>
,	,	,
i	NNS	i
have	VBP	have
a	DT	a
relationship	NN	relationship
and	CC	and
some	DT	some
friends	NNS	friend
however	RB	however
i	NP	i
can	MD	can
not	RB	not
stop	VB	stop
feeling	VBG	feel
alone	RB	alone
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
i	NP	i
am	VBP	be
in	IN	in
need	NN	need
of	IN	of
people	NNS	people
,	,	,
i	NP	i
dont	NN	<unknown>
want	VBP	want
to	TO	to
feel	VB	feel
like	IN	like
this	DT	this
.	SENT	.
even	RB	even
though	IN	though
some	DT	some
people	NNS	people
are	VBP	be
here	RB	here
for	IN	for
me	PP	me
i	NNS	i
am	VBP	be
not	RB	not
.	SENT	.
No	DT	no
matter	NN	matter
what	WP	what
happens	VBZ	happen
i	NP	i
never	RB	never
support	VB	support
myself	PP	myself
.	SENT	.
im	NP	im
afraid	JJ	afraid
the	DT	the
lack	NN	lack
of	IN	of
self	NN	self
compassion	NN	compassion
is	VBZ	be
about	RB	about
to	TO	to
turn	VB	turn
me	PP	me
into	IN	into
someone	NN	someone
who	WP	who
is	VBZ	be
so	RB	so
desperate	JJ	desperate
for	IN	for
compassion	NN	compassion
.	SENT	.
my	PP$	my
therapist	NN	therapist
and	CC	and
the	DT	the
ones	NNS	one
i	NP	i
had	VBD	have
before	IN	before
her	PP	her
had	VBD	have
tried	VBN	try
to	TO	to
help	VB	help
me	PP	me
but	CC	but
no	DT	no
luck	NN	luck
.	SENT	.
Anyone	NN	anyone
who	WP	who
is	VBZ	be
experiencing	VBG	experience
smth	NN	<unknown>
similar	JJ	similar
?	SENT	?
