One	CD	one
thing	NN	thing
i	NP	i
struggle	NN	struggle
with	IN	with
is	VBZ	be
wanting	VBG	want
to	TO	to
be	VB	be
around	RB	around
other	JJ	other
people	NNS	people
,	,	,
doing	VBG	do
things	NNS	thing
with	IN	with
others	NNS	other
.	SENT	.
in	IN	in
the	DT	the
sence	NN	<unknown>
of	IN	of
once	IN	once
i	NP	i
do	VBP	do
something	NN	something
with	IN	with
someone	NN	someone
its	PP$	its
hard	JJ	hard
for	IN	for
me	PP	me
to	TO	to
go	VB	go
back	RB	back
or	CC	or
do	VB	do
it	PP	it
alone	RB	alone
.	SENT	.
a	DT	a
few	JJ	few
weeks	NNS	week
ago	RB	ago
my	PP$	my
talk	NN	talk
doc	NN	doc
asked	VBD	ask
me	PP	me
to	TO	to
take	VB	take
my	PP$	my
self	NN	self
to	TO	to
the	DT	the
movies-	NN	<unknown>
something	NN	something
i	NNS	i
have	VBP	have
never	RB	never
done	VBN	do
before	IN	before
,	,	,
since	IN	since
it	PP	it
was	VBD	be
a	DT	a
movie	NN	movie
sit	VBP	sit
and	CC	and
watch	VBP	watch
it	PP	it
was	VBD	be
a	DT	a
little	JJ	little
uncomrtable	NN	<unknown>
and	CC	and
akward	NN	<unknown>
at	IN	at
first	JJ	first
but	CC	but
i	NP	i
did	VBD	do
it	PP	it
.	SENT	.
its	PP$	its
like	IN	like
when	WRB	when
i	NNS	i
go	VBP	go
driving	NN	driving
and	CC	and
exploring-	NN	<unknown>
i	NNS	i
like	IN	like
doing	VBG	do
it	PP	it
with	IN	with
other	JJ	other
people	NNS	people
and	CC	and
not	RB	not
by	IN	by
my	PP$	my
self	NN	self
.	SENT	.
its	PP$	its
hard	JJ	hard
being	NN	being
your	PP$	your
own	JJ	own
best	JJS	good
friend	NN	friend
somwthing	VBG	<unknown>
my	PP$	my
talking	VBG	talk
doc	NN	doc
has	VBZ	have
told	VBN	tell
me	PP	me
to	TO	to
do-	NN	<unknown>
be	VB	be
my	PP$	my
own	JJ	own
best	JJS	good
friend	NN	friend
.	SENT	.
since	IN	since
i	NP	i
dont	NN	<unknown>
have	VBP	have
many	JJ	many
physical	JJ	physical
friends	NNS	friend
just	RB	just
online	JJ	online
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
better	RBR	well
at	IN	at
talking	VBG	talk
and	CC	and
meeting	VBG	meet
people	NNS	people
in	IN	in
person	NN	person
,	,	,
puting	VBG	<unknown>
my	PP$	my
self	NN	self
out	RP	out
there	RB	there
physicaly	RB	<unknown>
and	CC	and
not	RB	not
just	RB	just
online	JJ	online
which	WDT	which
i	NNS	i
am	VBP	be
pretty	RB	pretty
good	JJ	good
at-	NN	<unknown>
any	DT	any
advice	NN	advice
or	CC	or
things	NNS	thing
you	PP	you
have	VBP	have
done	VBN	do
.	SENT	.
