Hello	UH	hello
everyone	NN	everyone
.	SENT	.
It	PP	it
is	VBZ	be
Saturday	NP	Saturday
night	NN	night
and	CC	and
i	NP	i
am	VBP	be
all	RB	all
alone	RB	alone
.	SENT	.
Just	RB	just
got	VBD	get
off	RB	off
work	VB	work
a	DT	a
while	NN	while
ago	RB	ago
.	SENT	.
Have	VBP	have
to	TO	to
work	VB	work
tomorrow	NN	tomorrow
.	SENT	.
Some	DT	some
dude	NN	dude
that	WDT	that
wanted	VBD	want
to	TO	to
hook	VB	hook
up	RB	up
stood	VBD	stand
me	PP	me
up	RP	up
.	SENT	.
So	IN	so
i	NP	i
am	VBP	be
going	VBG	go
to	TO	to
watch	VB	watch
some	DT	some
tv	NN	tv
and	CC	and
make	VB	make
a	DT	a
burger	NN	burger
with	IN	with
fries	NNS	fry
.	SENT	.
How	WRB	how
are	VBP	be
you	PP	you
guys	NNS	guy
doing	VBG	do
?	SENT	?
Any	DT	any
plans	NNS	plan
?	SENT	?
