(	(	(
19	CD	@card@
)	)	)
I	CD	@card@
’m	NN	<unknown>
beyond	IN	beyond
Alone	NP	<unknown>
,	,	,
and	CC	and
people	NNS	people
around	IN	around
me	PP	me
genuinely	RB	genuinely
hate	VBP	hate
me	PP	me
,	,	,
there	EX	there
are	VBP	be
rumours	NNS	rumour
about	IN	about
me	PP	me
that	WDT	that
are	VBP	be
awful	JJ	awful
and	CC	and
false	JJ	false
,	,	,
plus	CC	plus
I	PP	I
believe	VBP	believe
new	JJ	new
ones	NNS	one
which	WDT	which
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
of	IN	of
,	,	,
and	CC	and
it	PP	it
makes	VBZ	make
no	DT	no
sense	NN	sense
that	IN	that
the	DT	the
same	JJ	same
people	NNS	people
who	WP	who
made	VBD	make
my	PP$	my
life	NN	life
hell	NN	hell
in	IN	in
highschool	NN	highschool
would	MD	would
still	RB	still
treat	VB	treat
me	PP	me
like	IN	like
this	DT	this
even	RB	even
after	IN	after
it	PP	it
.	SENT	.
It	PP	it
makes	VBZ	make
me	PP	me
angry	JJ	angry
to	TO	to
know	VB	know
that	IN	that
there	RB	there
living	VBG	live
there	RB	there
life	NN	life
’s	VBZ	be
with	IN	with
friends	NNS	friend
when	WRB	when
I	PP	I
’m	NN	<unknown>
stuck	VBN	stick
at	IN	at
rock	NN	rock
bottom	NN	bottom
where	WRB	where
they	PP	they
want	VBP	want
me	PP	me
to	TO	to
be	VB	be
.	SENT	.
