I	PP	I
am	VBP	be
a	DT	a
20	CD	@card@
M	NP	M
and	CC	and
i	NP	i
just	RB	just
lost	VBD	lose
my	PP$	my
bestfreind	NN	<unknown>
because	IN	because
i	NP	i
was	VBD	be
talking	VBG	talk
shit	NN	shit
about	IN	about
her	PP	her
but	CC	but
i	NP	i
was	VBD	be
joking	VBG	joke
about	IN	about
it	PP	it
and	CC	and
i	NP	i
caught	VBD	catch
myself	PP	myself
the	DT	the
minute	NN	minute
i	NP	i
said	VBD	say
it	PP	it
and	CC	and
said	VBD	say
that	WDT	that
was	VBD	be
to	TO	to
far	RB	far
and	CC	and
i	NP	i
was	VBD	be
confused	VBN	confuse
i	NP	i
was	VBD	be
joking	VBG	joke
and	CC	and
then	RB	then
when	WRB	when
she	PP	she
explained	VBD	explain
how	WRB	how
much	RB	much
i	NP	i
hurt	VBD	hurt
her	PP$	her
feelings	NNS	feeling
i	NNS	i
realized	VBD	realize
why	WRB	why
i	NNS	i
have	VBP	have
no	DT	no
freinds	NNS	<unknown>
its	PP$	its
because	IN	because
im	NP	im
the	DT	the
issue	NN	issue
i	NNS	i
am	VBP	be
the	DT	the
reson	NN	<unknown>
why	WRB	why
i	NP	i
dont	NN	<unknown>
have	VBP	have
any	DT	any
freinds	NNS	<unknown>
because	IN	because
i	NP	i
dont	NN	<unknown>
know	VBP	know
when	WRB	when
a	DT	a
joke	NN	joke
has	VBZ	have
gone	VBN	go
to	TO	to
far	RB	far
,	,	,
because	IN	because
im	NP	im
purely	RB	purely
a	DT	a
idiot	NN	idiot
,	,	,
because	IN	because
i	NP	i
just	JJ	just
dont	NN	<unknown>
know	VBP	know
when	WRB	when
to	TO	to
stop	VB	stop
ane	NNS	<unknown>
because	IN	because
i	NP	i
am	VBP	be
also	RB	also
fake	JJ	fake
i	NNS	i
keep	VBP	keep
thinking	VBG	think
that	IN	that
if	IN	if
i	NP	i
match	NN	match
somones	NNS	<unknown>
jokes	VBZ	joke
they	PP	they
will	MD	will
like	VB	like
me	PP	me
more	JJR	more
and	CC	and
it	PP	it
does	VBZ	do
n't	RB	n't
it	PP	it
just	RB	just
makes	VBZ	make
me	PP	me
a	DT	a
fucking	VBG	fuck
asshole	NN	asshole
but	CC	but
i	NP	i
dont	NN	<unknown>
know	VBP	know
what	WP	what
else	RB	else
to	TO	to
say	VB	say
or	CC	or
do	VB	do
being	VBG	be
a	DT	a
smartass	NN	<unknown>
is	VBZ	be
all	DT	all
i	NP	i
know	VBP	know
but	CC	but
aleast	NN	<unknown>
i	NNS	i
know	VBP	know
what	WP	what
the	DT	the
issue	NN	issue
and	CC	and
its	PP$	its
me	FW	me
im	NP	im
the	DT	the
reson	NN	<unknown>
why	WRB	why
im	NP	im
alone	RB	alone
and	CC	and
i	NP	i
dont	NN	<unknown>
know	VBP	know
what	WP	what
to	TO	to
do	VB	do
