hi	UH	hi
guys	NNS	guy
.	SENT	.
almost	RB	almost
2	CD	@card@
months	NNS	month
ago	RB	ago
i	NP	i
broke	VBD	break
up	RP	up
with	IN	with
my	PP$	my
girlfriend	NN	girlfriend
(	(	(
im	NP	im
a	DT	a
girl	NN	girl
too	RB	too
)	)	)
.	SENT	.
it	PP	it
was	VBD	be
so	RB	so
awful	JJ	awful
.	SENT	.
im	NP	im
still	RB	still
feeling	VBG	feel
like	IN	like
a	DT	a
shit	NN	shit
.	SENT	.
i	NNS	i
have	VBP	have
no	DT	no
more	JJR	more
friends	NNS	friend
…	NN	<unknown>
and	CC	and
i	NP	i
would	MD	would
like	VB	like
to	TO	to
make	VB	make
friends	NNS	friend
or	CC	or
maybe	RB	maybe
just	RB	just
acquaintances	NNS	acquaintance
.	SENT	.
also	RB	also
i	NP	i
need	NN	need
to	TO	to
practice	VB	practice
my	PP$	my
english	NN	English
so	IN	so
huh	NP	Huh
