Hi	UH	hi
,	,	,
I	PP	I
'm	VBP	be
Kenneth	NP	Kenneth
and	CC	and
I	PP	I
'm	VBP	be
from	IN	from
Singapore	NP	Singapore
,	,	,
im	NP	im
22	CD	@card@
years	NNS	year
old	JJ	old
turning	VBG	turn
23	CD	@card@
in	IN	in
may	NN	may
.	SENT	.
I	PP	I
've	VBP	have
been	VBN	be
alone	RB	alone
for	IN	for
22	CD	@card@
or	CC	or
23	CD	@card@
years	NNS	year
.	SENT	.
Been	VBN	be
bullied	VBN	bully
at	IN	at
school	NN	school
when	WRB	when
i	NP	i
was	VBD	be
a	DT	a
kid	NN	kid
and	CC	and
as	IN	as
a	DT	a
teenager	NN	teenager
.	SENT	.
Did	VBD	do
n't	RB	n't
have	VB	have
much	JJ	much
friends	NNS	friend
or	CC	or
never	RB	never
been	VBN	be
into	IN	into
a	DT	a
relationship	NN	relationship
.	SENT	.
It	PP	it
's	VBZ	be
stop	VB	stop
when	WRB	when
it	PP	it
came	VBD	come
to	TO	to
colleage	NN	<unknown>
.	SENT	.
But	CC	but
loneliness	NN	loneliness
has	VBZ	have
been	VBN	be
there	RB	there
.	SENT	.
Followed	VBN	follow
by	IN	by
lust	NN	lust
a	DT	a
small	JJ	small
monster	NN	monster
now	RB	now
evolve	VB	evolve
into	IN	into
something	NN	something
big	JJ	big
inside	NN	inside
of	IN	of
me	PP	me
.	SENT	.
a	DT	a
giant	JJ	giant
monster	NN	monster
that	IN	that
i	NP	i
ca	MD	ca
n't	RB	n't
seems	VBZ	seem
to	TO	to
fight	VB	fight
it	PP	it
on	RP	on
,	,	,
so	IN	so
i	NP	i
let	VBD	let
it	PP	it
consumed	VBD	consume
me	PP	me
,	,	,
as	RB	as
well	RB	well
as	IN	as
loneliness	NN	loneliness
.	SENT	.
what	WP	what
's	VBZ	be
totally	RB	totally
been	VBN	be
with	IN	with
me	PP	me
is	VBZ	be
music	NN	music
,	,	,
Five	NP	<unknown>
Nights	NP	<unknown>
at	IN	at
Freddy	NP	Freddy
's	POS	's
and	CC	and
myself	PP	myself
.	SENT	.
I	PP	I
've	VBP	have
attempted	VBN	attempt
to	TO	to
end	VB	end
myself	PP	myself
back	RB	back
in	IN	in
2021	CD	@card@
and	CC	and
i	NP	i
have	VBP	have
been	VBN	be
admitted	VBN	admit
into	IN	into
a	DT	a
psych	VBP	psych
ward	VBP	ward
,	,	,
been	VBN	be
into	IN	into
meds	NNS	<unknown>
and	CC	and
doctors	NNS	doctor
things	NNS	thing
got	VBD	get
stabled	VBN	stable
.	SENT	.
But	CC	but
it	PP	it
comes	VBZ	come
back	RB	back
,	,	,
it	PP	it
always	RB	always
does	VBZ	do
.	SENT	.
Parents	NNS	parent
are	VBP	be
toxic	JJ	toxic
,	,	,
not	RB	not
understanding	VBG	understand
.	SENT	.
