hi	UH	hi
everyone	NN	everyone
im	NP	im
20	CD	@card@
years	NNS	year
never	RB	never
had	VBD	have
a	DT	a
gf	NN	<unknown>
or	CC	or
bf	NN	<unknown>
im	NP	im
bisexual	JJ	bisexual
btw	NN	<unknown>
im	NP	im
a	DT	a
virgin	NN	virgin
never	RB	never
had	VBD	have
sex	NN	sex
and	CC	and
quite	RB	quite
frankly	RB	frankly
i	NP	i
used	VBD	use
to	TO	to
want	VB	want
to	TO	to
be	VB	be
with	IN	with
someone	NN	someone
but	CC	but
now	RB	now
i	NNS	i
just	RB	just
wanna	VBP	wanna
be	VB	be
alone	RB	alone
till	IN	till
the	DT	the
day	NN	day
i	NNS	i
die	VBP	die
im	NP	im
not	RB	not
good	JJ	good
with	IN	with
people	NNS	people
i	NNS	i
never	RB	never
really	RB	really
had	VBD	have
friends	NNS	friend
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
people	NNS	people
just	RB	just
freaking	VBG	freak
annoy	VB	annoy
me	PP	me
and	CC	and
my	PP$	my
family	NN	family
annoys	VBZ	annoy
me	PP	me
right	RB	right
now	RB	now
im	NP	im
in	IN	in
college	NN	college
stuck	VBN	stick
at	IN	at
this	DT	this
stupid	JJ	stupid
ass	NN	ass
community	NN	community
college	NN	college
i	NP	i
cannot	MD	can
wait	VB	wait
to	TO	to
transfer	VB	transfer
someplace	RB	someplace
else	RB	else
.	SENT	.
