Hello	UH	hello
.	SENT	.
My	PP$	my
memory	NN	memory
is	VBZ	be
selective	JJ	selective
;	:	;
I	PP	I
forget	VBP	forget
many	JJ	many
things	NNS	thing
,	,	,
but	CC	but
fewer	JJR	few
than	IN	than
most	JJS	most
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
young	JJ	young
,	,	,
I	PP	I
had	VBD	have
a	DT	a
handful	NN	handful
of	IN	of
friends	NNS	friend
,	,	,
then	RB	then
only	RB	only
one	CD	one
.	SENT	.
He	PP	he
became	VBD	become
my	PP$	my
closest	JJS	close
companion	NN	companion
simply	RB	simply
because	IN	because
no	DT	no
one	CD	one
else	RB	else
remained	VBN	remain
.	SENT	.
We	PP	we
spent	VBD	spend
our	PP$	our
days	NNS	day
playing	NN	playing
,	,	,
passing	VBG	pass
time	NN	time
without	IN	without
purpose	NN	purpose
.	SENT	.
He	PP	he
never	RB	never
challenged	VBD	challenge
me	PP	me
,	,	,
yet	CC	yet
I	PP	I
enjoyed	VBD	enjoy
his	PP$	his
presence	NN	presence
.	SENT	.
We	PP	we
ate	VBD	eat
together	RB	together
every	DT	every
day	NN	day
in	IN	in
the	DT	the
school	NN	school
cafeteria	NN	cafeteria
.	SENT	.
That	DT	that
was	VBD	be
during	IN	during
primary	JJ	primary
school	NN	school
.	SENT	.
When	WRB	when
I	PP	I
moved	VBD	move
on	IN	on
to	TO	to
secondary	JJ	secondary
education	NN	education
,	,	,
we	PP	we
drifted	VBD	drift
apart	RB	apart
.	SENT	.
We	PP	we
still	RB	still
lived	VBD	live
in	IN	in
the	DT	the
same	JJ	same
small	JJ	small
town	NN	town
,	,	,
but	CC	but
the	DT	the
connection	NN	connection
faded	VBD	fade
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
see	VBP	see
him	PP	him
from	IN	from
a	DT	a
distance	NN	distance
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
sure	JJ	sure
if	IN	if
he	PP	he
notices	VBZ	notice
me	PP	me
or	CC	or
remembers	VBZ	remember
anything	NN	anything
.	SENT	.
Perhaps	RB	perhaps
not	RB	not
.	SENT	.
Perhaps	RB	perhaps
I	PP	I
prefer	VBP	prefer
not	RB	not
to	TO	to
know	VB	know
.	SENT	.
I	PP	I
will	MD	will
not	RB	not
reach	VB	reach
out	RP	out
;	:	;
he	PP	he
could	MD	could
,	,	,
if	IN	if
he	PP	he
wished	VBD	wish
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
initiate	VB	initiate
contact	NN	contact
with	IN	with
anyone	NN	anyone
.	SENT	.
Solitude	NN	solitude
is	VBZ	be
intentional	JJ	intentional
.	SENT	.
Yet	RB	yet
if	IN	if
someone	NN	someone
appeared-someone	NN	<unknown>
intelligent	JJ	intelligent
,	,	,
friendly	JJ	friendly
,	,	,
and	CC	and
capable	JJ	capable
of	IN	of
offering	VBG	offer
real	JJ	real
challenge-I	NNS	<unknown>
would	MD	would
respond	VB	respond
in	IN	in
kind	NN	kind
.	SENT	.
People	NNS	people
occasionally	RB	occasionally
try	VBP	try
to	TO	to
speak	VB	speak
with	IN	with
me	PP	me
,	,	,
and	CC	and
sometimes	RB	sometimes
I	PP	I
feel	VBP	feel
the	DT	the
need	NN	need
to	TO	to
talk	VB	talk
as	RB	as
well	RB	well
,	,	,
briefly	RB	briefly
.	SENT	.
Then	RB	then
the	DT	the
conversations	NNS	conversation
end	NN	end
.	SENT	.
