Hi	UH	hi
!	SENT	!
I	PP	I
'm	VBP	be
currently	RB	currently
going	VBG	go
through	IN	through
a	DT	a
separation	NN	separation
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
and	CC	and
feeling	VBG	feel
a	DT	a
bit	NN	bit
(	(	(
understatement	NN	understatement
)	)	)
lonely	JJ	lonely
.	SENT	.
Just	RB	just
wanted	VBD	want
to	TO	to
see	VB	see
if	IN	if
anyone	NN	anyone
wanted	VBD	want
to	TO	to
chat	VB	chat
.	SENT	.
Probably	RB	probably
a	DT	a
bit	NN	bit
of	IN	of
distraction	NN	distraction
and	CC	and
a	DT	a
bit	NN	bit
of	IN	of
venting	VBG	vent
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
sounds	NNS	sound
like	IN	like
the	DT	the
dream	NN	dream
to	TO	to
listen	VB	listen
to	TO	to
:p	VB	<unknown>
Based	VBN	base
in	IN	in
GMT+10	NP	<unknown>
,	,	,
but	CC	but
happy	JJ	happy
to	TO	to
chat	VB	chat
to	TO	to
anyone	NN	anyone
,	,	,
anywhere	RB	anywhere
.	SENT	.
