Hi	UH	hi
you	PP	you
to	TO	to
whomever	WP	whomever
takes	VBZ	take
their	PP$	their
time	NN	time
to	TO	to
read	VB	read
this	DT	this
.	SENT	.
