There	EX	there
's	VBZ	be
a	DT	a
language	NN	language
exchange	NN	exchange
app	NP	App
called	VBD	call
Tandem	NP	Tandem
that	IN	that
I	PP	I
used	VBD	use
to	TO	to
speak	VB	speak
to	TO	to
friends	NNS	friend
on	IN	on
,	,	,
but	CC	but
I	PP	I
've	VBP	have
changed	VBN	change
phones	NNS	phone
and	CC	and
it	PP	it
wo	MD	wo
n't	RB	n't
let	VB	let
me	PP	me
create	VB	create
a	DT	a
new	JJ	new
account	NN	account
.	SENT	.
Can	MD	can
someone	NN	someone
please	VBP	please
make	VB	make
me	PP	me
a	DT	a
new	JJ	new
one	CD	one
if	IN	if
I	PP	I
give	VBP	give
them	PP	them
a	DT	a
Gmail	NP	<unknown>
account	NN	account
?	SENT	?
