hey	UH	hey
yall	NN	<unknown>
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
’ve	VBP	have
come	VBN	come
to	TO	to
the	DT	the
realization	NN	realization
that	IN	that
I	PP	I
feel	VBP	feel
like	IN	like
people	NNS	people
pleasing	NN	pleasing
is	VBZ	be
really	RB	really
hard	JJ	hard
not	RB	not
to	TO	to
do	VB	do
,	,	,
and	CC	and
there	RB	there
so	RB	so
much	JJ	much
that	IN	that
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
feel	VBP	feel
angry	JJ	angry
about	IN	about
all	PDT	all
the	DT	the
time	NN	time
,	,	,
I	PP	I
feel	VBP	feel
angry	JJ	angry
.	SENT	.
When	WRB	when
seeing	VBG	see
people	NNS	people
in	IN	in
their	PP$	their
relationships	NNS	relationship
feel	VBP	feel
angry	JJ	angry
seeing	VBG	see
people	NNS	people
speak	VB	speak
up	RP	up
and	CC	and
feel	VB	feel
like	IN	like
confident	JJ	confident
.	SENT	.
And	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
know	VBP	know
I	PP	I
’m	NN	<unknown>
a	DT	a
people	NNS	people
pleaser	NN	pleaser
and	CC	and
I	PP	I
ca	MD	ca
n’t	RB	n't
stop	VB	stop
being	VBG	be
one	CD	one
,	,	,
i	NP	i
just	RB	just
do	VBP	do
n’t	RB	n't
know	VB	know
how	WRB	how
to	TO	to
release	VB	release
this	DT	this
anger	NN	anger
and	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
need	VBP	need
to	TO	to
badly	RB	badly
