Hi	UH	hi
,	,	,
is	VBZ	be
my	PP$	my
brithdqy	JJ	<unknown>
today	NN	today
.	SENT	.
And	CC	and
i	NP	i
dont	NN	<unknown>
think	VBP	think
anyone	NN	anyone
actually	RB	actually
remember	VB	remember
it	PP	it
,	,	,
not	RB	not
even	RB	even
my	PP$	my
family	NN	family
.	SENT	.
Mom	NN	mom
still	RB	still
sending	VBG	send
my	PP$	my
reels	NNS	reel
,	,	,
no	RB	no
one	CD	one
else	JJ	else
saying	VBG	say
anything	NN	anything
-	NN	<unknown>
not	RB	not
even	RB	even
my	PP$	my
close	JJ	close
friends	NNS	friend
.	SENT	.
I	PP	I
got	VBD	get
like	IN	like
4	CD	@card@
happy	JJ	happy
birthday	NN	birthday
,	,	,
from	IN	from
my	PP$	my
ex	FW	ex
,	,	,
ex	FW	ex
’s	POS	's
mom	NN	mom
,	,	,
my	PP$	my
one	CD	one
friend	NN	friend
who	WP	who
lives	VBZ	live
miles	NNS	mile
away	RB	away
and	CC	and
one	CD	one
kid	NN	kid
at	IN	at
my	PP$	my
work	NN	work
.	SENT	.
I	PP	I
dont	VBP	<unknown>
know	VB	know
what	WP	what
to	TO	to
feel	VB	feel
.	SENT	.
Im	NP	Im
sorry	RB	sorry
not	RB	not
sure	JJ	sure
what	WP	what
else	RB	else
to	TO	to
say	VB	say
.	SENT	.
Probably	RB	probably
just	RB	just
hope	VBP	hope
for	IN	for
something	NN	something
better	RBR	well
than	IN	than
this	DT	this
since	IN	since
i	NP	i
just	RB	just
have	VBP	have
a	DT	a
shitty	JJ	shitty
year	NN	year
…	NN	<unknown>
