Im	NP	Im
a	DT	a
fairly	RB	fairly
outgoing	JJ	outgoing
person	NN	person
,	,	,
can	MD	can
chat	VB	chat
about	IN	about
anything	NN	anything
with	IN	with
anyone	NN	anyone
but	CC	but
most	JJS	most
one	CD	one
on	IN	on
one	CD	one
connections	NNS	connection
do	VBP	do
n't	RB	n't
last	JJ	last
.	SENT	.
Id	NN	id
vibe	NN	<unknown>
so	RB	so
well	RB	well
with	IN	with
someone	NN	someone
then	RB	then
when	WRB	when
we	PP	we
part	VBP	part
ways	NNS	way
it	PP	it
's	VBZ	be
all	DT	all
silence	NN	silence
,	,	,
maybe	RB	maybe
a	DT	a
random	JJ	random
hi	UH	hi
and	CC	and
bye	NN	bye
sometimes	RB	sometimes
.	SENT	.
I	PP	I
thought	VBD	think
meeting	NN	meeting
people	NNS	people
out	RB	out
would	MD	would
be	VB	be
better	JJR	good
than	IN	than
on	IN	on
net	JJ	net
connections	NNS	connection
that	WDT	that
leave	VBP	leave
me	PP	me
craving	VBG	crave
for	IN	for
more	JJR	more
human	JJ	human
interactions	NNS	interaction
.	SENT	.
