Hi	NP	Hi
guys	NNS	guy
did	VBD	do
you	PP	you
ever	RB	ever
feel	VBP	feel
like	IN	like
there	EX	there
are	VBP	be
lot	NN	lot
of	IN	of
things	NNS	thing
to	TO	to
do	VB	do
but	CC	but
unable	JJ	unable
to	TO	to
do	VB	do
..and	NN	<unknown>
your	PP$	your
brain	NN	brain
constantly	RB	constantly
finding	VBG	find
someone	NN	someone
to	TO	to
talk	VB	talk
spend	VB	spend
time	NN	time
.but	NN	<unknown>
you	PP	you
get	VBP	get
know	VB	know
realize	VB	realize
no	DT	no
one	CD	one
talk	NN	talk
without	IN	without
any	DT	any
profit	NN	profit
...	:	...
.and	NN	<unknown>
you	PP	you
keep	VBP	keep
constantly	RB	constantly
crying	VBG	cry
inside	IN	inside
(	(	(
unable	JJ	unable
to	TO	to
figure	VB	figure
out	RP	out
why	WRB	why
I	PP	I
am	VBP	be
crying	VBG	cry
)	)	)
...	:	...
thanks	NNS	thanks
to	TO	to
listen	VB	listen
