Um	NP	Um
...	:	...
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
say	VB	say
that	DT	that
y'all	NN	<unknown>
are	VBP	be
all	DT	all
swell	NN	swell
and	CC	and
very	RB	very
lovely	JJ	lovely
people	NNS	people
,	,	,
from	IN	from
what	WP	what
I	PP	I
can	MD	can
tell	VB	tell
on	IN	on
the	DT	the
sub	NN	sub
.	SENT	.
And	CC	and
also	RB	also
,	,	,
take	VB	take
care	NN	care
of	IN	of
yourself	PP	yourself
.	SENT	.
Hydrate	NN	hydrate
or	CC	or
diedrate	NN	<unknown>
.	SENT	.
Get	VB	get
some	DT	some
rest	NN	rest
,	,	,
and	CC	and
let	VBP	let
's	VBZ	be
all	RB	all
get	VB	get
through	IN	through
this	DT	this
pandemic	NN	pandemic
together	RB	together
!	SENT	!
