Hello	UH	hello
all	RB	all
.	SENT	.
How	WRB	how
are	VBP	be
things	NNS	thing
going	VBG	go
?	SENT	?
Someone	NN	someone
shared	VBN	share
on	IN	on
Facebook	NP	<unknown>
this	RB	this
[	SYM	[
article](https://edition.cnn.com/2020/03/23/health/yale-happiness-course-wellness/index.html)	NN	<unknown>
saying	VBG	say
that	IN	that
Yale	NP	Yale
made	VBD	make
a	DT	a
course	NN	course
on	RB	on
[	SYM	[
Happiness	NN	happiness
and	CC	and
Well	RB	well
being	VBG	be
available	JJ	available
for	IN	for
free](https://www.coursera.org/learn/the-science-of-well-being	NN	<unknown>
)	)	)
.	SENT	.
I	PP	I
'm	VBP	be
now	RB	now
midway	JJ	midway
through	IN	through
this	DT	this
course	NN	course
.	SENT	.
I	PP	I
can	MD	can
only	RB	only
say	VB	say
that	IN	that
I	PP	I
learned	VBD	learn
SOO	NP	Soo
much	RB	much
.	SENT	.
There	EX	there
is	VBZ	be
so	RB	so
much	JJ	much
knowledge	NN	knowledge
out	IN	out
there	RB	there
,	,	,
and	CC	and
so	RB	so
many	JJ	many
things	NNS	thing
we	PP	we
are	VBP	be
intuitively	RB	intuitively
wrong	JJ	wrong
and	CC	and
that	IN	that
we	PP	we
could	MD	could
do	VB	do
to	TO	to
feel	VB	feel
better	RBR	well
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
time	NN	time
,	,	,
I	PP	I
definitively	RB	definitively
recommend	VBP	recommend
you	PP	you
to	TO	to
take	VB	take
this	DT	this
course	NN	course
.	SENT	.
It	PP	it
's	VBZ	be
really	RB	really
captivating	JJ	captivating
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
do	VBP	do
n't	RB	n't
have	VB	have
time	NN	time
:	:	:
take	VB	take
it	PP	it
.	SENT	.
It	PP	it
's	VBZ	be
absolutely	RB	absolutely
worth	JJ	worth
it	PP	it
.	SENT	.
It	PP	it
's	VBZ	be
too	RB	too
early	JJ	early
for	IN	for
me	PP	me
to	TO	to
say	VB	say
,	,	,
but	CC	but
I	PP	I
'm	VBP	be
pretty	RB	pretty
sure	JJ	sure
that	IN	that
this	DT	this
course	NN	course
chances	VBZ	chance
who	WP	who
I	PP	I
am	VBP	be
on	IN	on
the	DT	the
long	JJ	long
run	NN	run
.	SENT	.
