Hello	UH	hello
,	,	,
im	NP	im
a	DT	a
17	CD	@card@
year	NN	year
old	JJ	old
female	NN	female
,	,	,
I	PP	I
turn	VBP	turn
18	CD	@card@
in	IN	in
2	CD	@card@
weeks	NNS	week
,	,	,
im	NP	im
looking	VBG	look
for	IN	for
someone	NN	someone
to	TO	to
talk	VB	talk
to	TO	to
(	(	(
NOTHING	NP	Nothing
SEXUAL	NP	<unknown>
!	SENT	!
!	SENT	!
!	SENT	!
)	)	)
I	PP	I
'm	VBP	be
about	RB	about
to	TO	to
be	VB	be
in	IN	in
college	NN	college
,	,	,
i	NNS	i
live	VBP	live
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
i	NNS	i
dint	VBP	dint
really	RB	really
have	VB	have
many	JJ	many
friends	NNS	friend
because	IN	because
i	NP	i
moved	VBD	move
half	DT	half
way	NN	way
across	IN	across
the	DT	the
country	NN	country
in	IN	in
2021	CD	@card@
,	,	,
my	PP$	my
best	JJS	good
friend	NN	friend
also	RB	also
did	VBD	do
but	RB	but
to	TO	to
a	DT	a
different	JJ	different
state	NN	state
and	CC	and
he	PP	he
does	VBZ	do
n't	RB	n't
talk	VB	talk
to	TO	to
me	PP	me
anymore	RB	anymore
,	,	,
and	CC	and
I	PP	I
didnt	VBP	<unknown>
make	VB	make
many	JJ	many
friends	NNS	friend
in	IN	in
high	JJ	high
school	NN	school
for	IN	for
whatever	WDT	whatever
reason	NN	reason
,	,	,
idc	NN	<unknown>
about	IN	about
age	NN	age
or	CC	or
gender	NN	gender
,	,	,
unless	IN	unless
your	PP$	your
younger	JJR	young
than	IN	than
me	PP	me
,	,	,
I	PP	I
wo	MD	wo
n't	RB	n't
talk	VB	talk
to	TO	to
any	DT	any
males	NNS	male
younger	JJR	young
than	IN	than
me	PP	me
and	CC	and
I	PP	I
wo	MD	wo
n't	RB	n't
talk	VB	talk
to	TO	to
any	DT	any
females	NNS	female
younger	JJR	young
than	IN	than
16	CD	@card@
