Hi	NP	Hi
everyone	NN	everyone
,	,	,
I	PP	I
’m	NN	<unknown>
looking	VBG	look
for	IN	for
some	DT	some
advice	NN	advice
and	CC	and
opinions	NNS	opinion
.	SENT	.
A	DT	a
relative	NN	relative
of	IN	of
mine	NN	mine
has	VBZ	have
been	VBN	be
thinking	VBG	think
about	IN	about
starting	VBG	start
a	DT	a
small	JJ	small
chat/voice	NN	<unknown>
channel	NN	channel
where	WRB	where
they	PP	they
talk	VBP	talk
with	IN	with
people	NNS	people
who	WP	who
feel	VBP	feel
lonely	JJ	lonely
,	,	,
want	VBP	want
someone	NN	someone
to	TO	to
chat	VB	chat
with	IN	with
,	,	,
or	CC	or
just	RB	just
need	VBP	need
a	DT	a
space	NN	space
to	TO	to
share	NN	share
thoughts	NNS	thought
.	SENT	.
They	PP	they
currently	RB	currently
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
free	JJ	free
time	NN	time
and	CC	and
were	VBD	be
considering	VBG	consider
this	DT	this
as	IN	as
a	DT	a
way	NN	way
to	TO	to
keep	VB	keep
people	NNS	people
company	NN	company
while	IN	while
also	RB	also
making	VBG	make
a	DT	a
bit	NN	bit
of	IN	of
pocket	NN	pocket
money	NN	money
.	SENT	.
The	DT	the
idea	NN	idea
would	MD	would
be	VB	be
casual	JJ	casual
,	,	,
one-on-one	JJ	one-on-one
conversations	NNS	conversation
(	(	(
text	NN	text
or	CC	or
voice	NN	voice
)	)	)
,	,	,
not	RB	not
therapy	NN	therapy
—	:	-
just	RB	just
friendly	JJ	friendly
social	JJ	social
interaction	NN	interaction
.	SENT	.
They	PP	they
asked	VBD	ask
for	IN	for
my	PP$	my
opinion	NN	opinion
and	CC	and
also	RB	also
for	IN	for
help	VB	help
figuring	VBG	figure
out	RP	out
whether	IN	whether
this	DT	this
is	VBZ	be
a	DT	a
good	JJ	good
idea	NN	idea
and	CC	and
,	,	,
if	IN	if
so	RB	so
,	,	,
where	WRB	where
something	NN	something
like	IN	like
this	DT	this
could	MD	could
even	RB	even
be	VB	be
shared	VBN	share
without	IN	without
being	VBG	be
spammy	JJ	<unknown>
or	CC	or
inappropriate	JJ	inappropriate
.	SENT	.
So	RB	so
I	PP	I
wanted	VBD	want
to	TO	to
ask	VB	ask
:	:	:
*	SYM	*
What	WP	what
’s	VBZ	be
your	PP$	your
opinion	NN	opinion
on	IN	on
this	DT	this
kind	NN	kind
of	IN	of
service	NN	service
?	SENT	?
*	SYM	*
Do	VBP	do
you	PP	you
think	VBP	think
there	EX	there
’s	VBZ	be
a	DT	a
real	JJ	real
need	NN	need
for	IN	for
it	PP	it
?	SENT	?
*	SYM	*
Are	VBP	be
there	RB	there
specific	JJ	specific
communities	NNS	community
or	CC	or
platforms	NNS	platform
where	WRB	where
this	DT	this
could	MD	could
be	VB	be
discussed	VBN	discuss
or	CC	or
posted	VBN	post
appropriately	RB	appropriately
?	SENT	?
I	PP	I
’m	NN	<unknown>
genuinely	RB	genuinely
curious	JJ	curious
to	TO	to
hear	VB	hear
different	JJ	different
perspectives	NNS	perspective
—	:	-
both	DT	both
positive	JJ	positive
and	CC	and
critical	JJ	critical
.	SENT	.
Thanks	NNS	thanks
!	SENT	!
