Hi	UH	hi
!	SENT	!
I	PP	I
’m	NP	<unknown>
19	CD	@card@
,	,	,
offering	VBG	offer
platonic	JJ	Platonic
text	NN	text
or	CC	or
phone	NN	phone
call	NN	call
companionship	NN	companionship
sessions	NNS	session
for	IN	for
people	NNS	people
who	WP	who
just	RB	just
want	VBP	want
someone	NN	someone
to	TO	to
talk	VB	talk
to	TO	to
.	SENT	.
Whether	IN	whether
you	PP	you
want	VBP	want
to	TO	to
vent	VB	vent
,	,	,
share	NN	share
updates	NNS	update
about	IN	about
your	PP$	your
day	NN	day
,	,	,
talk	NN	talk
about	IN	about
your	PP$	your
interests	NNS	interest
,	,	,
or	CC	or
just	RB	just
not	RB	not
feel	VB	feel
alone	RB	alone
.	SENT	.
DM	NP	DM
for	IN	for
details	NNS	detail
