Hi	UH	hi
!	SENT	!
I	PP	I
’m	NN	<unknown>
28F	NN	<unknown>
I	PP	I
live	VBP	live
in	IN	in
North	NP	North
Carolina	NP	Carolina
.	SENT	.
I	PP	I
have	VBP	have
n’t	RB	n't
had	VBN	have
a	DT	a
best	JJS	good
friend	NN	friend
since	IN	since
middle	JJ	middle
school	NN	school
and	CC	and
I	PP	I
have	VBP	have
0	CD	@card@
friends	NNS	friend
and	CC	and
have	VBP	have
n’t	RB	n't
in	IN	in
years	NNS	year
.	SENT	.
I	PP	I
am	VBP	be
so	RB	so
alone	RB	alone
it	PP	it
hurts	VBZ	hurt
.	SENT	.
I	PP	I
get	VBP	get
really	RB	really
scared	JJ	scared
at	IN	at
how	WRB	how
alone	RB	alone
I	PP	I
feel	VBP	feel
.	SENT	.
I	PP	I
’d	MD	will
love	VB	love
to	TO	to
make	VB	make
some	DT	some
friends	NNS	friend
if	IN	if
anyone	NN	anyone
is	VBZ	be
open	JJ	open
to	TO	to
chatting	VBG	chat
.	SENT	.
