Hello	UH	hello
everyone	NN	everyone
,	,	,
I	PP	I
(	(	(
m	NN	m
,	,	,
almost	RB	almost
18	CD	@card@
)	)	)
am	VBP	be
asexual	JJ	asexual
and	CC	and
aromantic	JJ	<unknown>
.	SENT	.
For	IN	for
me	PP	me
,	,	,
this	DT	this
means	NNS	mean
:	:	:
no	DT	no
desire	NN	desire
for	IN	for
sexual	JJ	sexual
or	CC	or
romantic	JJ	romantic
relationships	NNS	relationship
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
have	VBP	have
a	DT	a
strong	JJ	strong
need	NN	need
for	IN	for
closeness	NN	closeness
in	IN	in
a	DT	a
non-sexual	JJ	<unknown>
sense	NN	sense
(	(	(
e.g.	FW	e.g.
,	,	,
talking	NN	talking
,	,	,
being	VBG	be
together	RB	together
,	,	,
cuddling	VBG	cuddle
)	)	)
.	SENT	.
This	DT	this
is	VBZ	be
where	WRB	where
my	PP$	my
inner	JJ	inner
conflict	NN	conflict
arises	VBZ	arise
:	:	:
I	PP	I
am	VBP	be
very	RB	very
afraid	JJ	afraid
of	IN	of
loneliness	NN	loneliness
because	IN	because
many	JJ	many
social	JJ	social
relationships	NNS	relationship
are	VBP	be
strongly	RB	strongly
defined	VBN	define
by	IN	by
romance	NN	romance
or	CC	or
sexuality	NN	sexuality
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
fear	VBP	fear
that	IN	that
my	PP$	my
need	NN	need
for	IN	for
closeness	NN	closeness
might	MD	might
overwhelm	VB	overwhelm
others	NNS	other
,	,	,
manipulate	VB	manipulate
them	PP	them
,	,	,
or	CC	or
unintentionally	RB	unintentionally
cross	VB	cross
boundaries—even	NN	<unknown>
when	WRB	when
I	PP	I
clearly	RB	clearly
communicate	VBP	communicate
that	IN	that
it	PP	it
’s	VBZ	be
nothing	NN	nothing
sexual	JJ	sexual
and	CC	and
that	IN	that
a	DT	a
“	``	"
no	RB	no
”	''	"
is	VBZ	be
always	RB	always
respected	VBN	respect
.	SENT	.
I	PP	I
often	RB	often
think	VBP	think
about	RB	about
whether	IN	whether
I	PP	I
“	``	"
deserve	VBP	deserve
”	''	"
closeness	NN	closeness
,	,	,
whether	IN	whether
I	PP	I
’m	NN	<unknown>
even	RB	even
allowed	VBD	allow
to	TO	to
ask	VB	ask
for	IN	for
it	PP	it
,	,	,
or	CC	or
if	IN	if
I	PP	I
should	MD	should
suppress	VB	suppress
my	PP$	my
need	NN	need
in	IN	in
order	NN	order
not	RB	not
to	TO	to
put	VB	put
anyone	NN	anyone
in	IN	in
an	DT	an
uncomfortable	JJ	uncomfortable
situation	NN	situation
.	SENT	.
Additionally	RB	additionally
,	,	,
I	PP	I
struggle	VBP	struggle
with	IN	with
inner	JJ	inner
restlessness	NN	restlessness
,	,	,
phases	NNS	phase
of	IN	of
derealization	NN	<unknown>
,	,	,
and	CC	and
anxiety	NN	anxiety
,	,	,
which	WDT	which
makes	VBZ	make
everything	NN	everything
even	RB	even
more	RBR	more
complicated	JJ	complicated
.	SENT	.
My	PP$	my
questions	NNS	question
to	TO	to
you	PP	you
:	:	:
Are	VBP	be
there	RB	there
people	NNS	people
here	RB	here
who	WP	who
feel	VBP	feel
something	RB	something
similar	JJ	similar
(	(	(
ace/aro	NN	<unknown>
or	CC	or
in	IN	in
general	NN	general
)	)	)
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
deal	VB	deal
with	IN	with
closeness	NN	closeness
without	IN	without
putting	VBG	put
pressure	NN	pressure
on	IN	on
yourself	PP	yourself
or	CC	or
others	NNS	other
?	SENT	?
Is	VBZ	be
my	PP$	my
need	NN	need
for	IN	for
physical	JJ	physical
closeness	NN	closeness
inherently	RB	inherently
problematic—or	NN	<unknown>
is	VBZ	be
it	PP	it
more	RBR	more
about	RB	about
how	WRB	how
I	PP	I
handle	VBP	handle
it	PP	it
?	SENT	?
I	PP	I
’m	NN	<unknown>
not	RB	not
looking	VBG	look
for	IN	for
a	DT	a
substitute	NN	substitute
for	IN	for
therapy	NN	therapy
,	,	,
but	CC	but
for	IN	for
perspectives	NNS	perspective
,	,	,
experiences	NNS	experience
,	,	,
and	CC	and
honest	JJ	honest
assessments	NNS	assessment
.	SENT	.
I	PP	I
hope	VBP	hope
that	IN	that
I	PP	I
do	VBP	do
n't	RB	n't
sound	VB	sound
like	IN	like
a	DT	a
pervert	NN	pervert
Thank	VB	thank
you	PP	you
for	IN	for
reading	NN	reading
.	SENT	.
