Hi	UH	hi
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
Merry	NP	Merry
Christmas	NP	Christmas
to	TO	to
you	PP	you
all	DT	all
!	SENT	!
My	PP$	my
name	NN	name
's	POS	's
Hugo	NP	Hugo
,	,	,
I	PP	I
'm	VBP	be
from	IN	from
Spain	NP	Spain
,	,	,
and	CC	and
almost	RB	almost
23	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
sound	VB	sound
thirsty	JJ	thirsty
or	CC	or
desperated	JJ	<unknown>
.	SENT	.
I	PP	I
know	VBP	know
that	WDT	that
's	VBZ	be
such	PDT	such
a	DT	a
turn-off	NN	turn-off
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
get	VB	get
this	DT	this
out	IN	out
my	PP$	my
chest	NN	chest
.	SENT	.
I	PP	I
lost	VBD	lose
my	PP$	my
job	NN	job
due	JJ	due
to	TO	to
depression	NN	depression
almost	RB	almost
a	DT	a
month	NN	month
ago	RB	ago
and	CC	and
started	VBD	start
taking	VBG	take
meds	NNS	<unknown>
for	IN	for
it	PP	it
after	IN	after
15	CD	@card@
years	NNS	year
of	IN	of
just	RB	just
bearing	VBG	bear
with	IN	with
everything	NN	everything
on	IN	on
my	PP$	my
own	JJ	own
.	SENT	.
Not	RB	not
very	RB	very
wise	JJ	wise
of	IN	of
me	PP	me
not	RB	not
asking	VBG	ask
for	IN	for
help	NN	help
earlier	RBR	earlier
,	,	,
but	CC	but
who	WP	who
can	MD	can
trust	VB	trust
public	JJ	public
healthcare	NN	<unknown>
nowadays	RB	nowadays
?	SENT	?
Anyways	RB	anyways
...	:	...
I	PP	I
do	VBP	do
n't	RB	n't
feel	VB	feel
comfortable	JJ	comfortable
giving	VBG	give
many	JJ	many
details	NNS	detail
about	IN	about
my	PP$	my
life	NN	life
publicly	RB	publicly
because	IN	because
I	PP	I
hate	VBP	hate
feeling	VBG	feel
myself	PP	myself
exposed	VBD	expose
.	SENT	.
I	PP	I
just	RB	just
wanna	VBP	wanna
say	VBP	say
I	PP	I
feel	VBP	feel
completely	RB	completely
drained	VBN	drain
off	RP	off
.	SENT	.
I	PP	I
've	VBP	have
been	VBN	be
locked	VBN	lock
up	RP	up
home	NN	home
for	IN	for
the	DT	the
last	JJ	last
three	CD	three
weeks	NNS	week
just	RB	just
playing	VBG	play
videogames	NNS	<unknown>
and	CC	and
sleeping	NN	sleeping
.	SENT	.
Not	RB	not
even	RB	even
eating	VBG	eat
nor	CC	nor
crying	VBG	cry
because	IN	because
I	PP	I
have	VBP	have
no	DT	no
energy	NN	energy
for	IN	for
it	PP	it
.	SENT	.
I	PP	I
've	VBP	have
never	RB	never
felt	VBN	feel
myself	PP	myself
so	RB	so
alone	RB	alone
in	IN	in
my	PP$	my
entire	JJ	entire
life	NN	life
.	SENT	.
I	PP	I
tried	VBD	try
everything	NN	everything
you	PP	you
can	MD	can
imagine	VB	imagine
(	(	(
and	CC	and
I	PP	I
mean	VBP	mean
it	PP	it
)	)	)
to	TO	to
get	VB	get
to	TO	to
know	VB	know
new	JJ	new
people	NNS	people
,	,	,
even	RB	even
if	IN	if
it	PP	it
's	VBZ	be
online	JJ	online
,	,	,
but	CC	but
meeting	VBG	meet
new	JJ	new
people	NNS	people
is	VBZ	be
almost	RB	almost
impossible	JJ	impossible
nowadays	RB	nowadays
,	,	,
even	RB	even
more	JJR	more
if	IN	if
you	PP	you
're	VBP	be
introverted	VBN	introvert
like	IN	like
me	PP	me
.	SENT	.
It	PP	it
's	VBZ	be
not	RB	not
my	PP$	my
first	JJ	first
period	NN	period
of	IN	of
solitude	NN	solitude
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
being	VBG	be
the	DT	the
worst	JJS	bad
.	SENT	.
I	PP	I
've	VBP	have
always	RB	always
been	VBN	be
such	JJ	such
an	DT	an
expressive	JJ	expressive
guy	NN	guy
with	IN	with
friends	NNS	friend
,	,	,
but	CC	but
things	NNS	thing
always	RB	always
happen	VBP	happen
in	IN	in
all	DT	all
groups	NNS	group
and	CC	and
they	PP	they
always	RB	always
end	VBP	end
up	RP	up
tearing	VBG	tear
apart	RB	apart
.	SENT	.
I	PP	I
had	VBD	have
