Hello	UH	hello
mate	NN	mate
!	SENT	!
sometimes	RB	sometimes
i	NP	i
feel	VBP	feel
I	PP	I
'm	VBP	be
paranoid	JJ	paranoid
,	,	,
suicidal	JJ	suicidal
,	,	,
lonely	JJ	lonely
,	,	,
grieving	VBG	grieve
,	,	,
hopeless	JJ	hopeless
and	CC	and
yes	RB	yes
helpless	JJ	helpless
ineed	NN	<unknown>
.	SENT	.
Do	VBP	do
n't	RB	n't
have	VB	have
anyone	NN	anyone
to	TO	to
talk	VB	talk
,	,	,
no	DT	no
friends	NNS	friend
nothing	NN	nothing
else	RB	else
.	SENT	.
just	RB	just
emptiness.	JJ	<unknown>
.	SENT	.
I	PP	I
'm	VBP	be
literally	RB	literally
tired	JJ	tired
Need	NN	need
some	DT	some
peace	NN	peace
And	CC	and
whenever	WRB	whenever
I	PP	I
thought	VBD	think
of	IN	of
peace	NN	peace
for	IN	for
me	PP	me
killing	VBG	kill
myself	PP	myself
is	VBZ	be
easiest	JJS	easy
amd	JJ	<unknown>
astonishing	JJ	astonishing
thought	NN	thought
