When	WRB	when
I	PP	I
post	VB	post
things	NNS	thing
like	IN	like
this	DT	this
about	RB	about
finding	VBG	find
online	JJ	online
friends	NNS	friend
,	,	,
some	DT	some
people	NNS	people
reply	NN	reply
,	,	,
but	CC	but
after	IN	after
a	DT	a
few	JJ	few
exchanges	NNS	exchange
,	,	,
they	PP	they
stop	VBP	stop
writing	VBG	write
.	SENT	.
Some	DT	some
people	NNS	people
just	RB	just
cut	VBD	cut
off	RP	off
the	DT	the
conversation	NN	conversation
immediately	RB	immediately
because	IN	because
we	PP	we
ca	MD	ca
n't	RB	n't
do	VB	do
it	PP	it
in	IN	in
the	DT	the
same	JJ	same
country	NN	country
.	SENT	.
In	IN	in
short	JJ	short
,	,	,
I	PP	I
could	MD	could
n't	RB	n't
find	VB	find
any	DT	any
friends	NNS	friend
online	JJ	online
.	SENT	.
Can	MD	can
you	PP	you
?	SENT	?
