TW	NP	TW
:	:	:
Self	NN	self
cannibalism	NN	cannibalism
?	SENT	?
?	SENT	?
If	IN	if
this	DT	this
is	VBZ	be
a	DT	a
thing	NN	thing
...	:	...
.	SENT	.
I	PP	I
'm	VBP	be
lonely	JJ	lonely
all	PDT	all
the	DT	the
time	NN	time
,	,	,
but	CC	but
atleast	NNS	<unknown>
once	IN	once
every	DT	every
four	CD	four
days	NNS	day
I	PP	I
have	VBP	have
a	DT	a
terrible	JJ	terrible
feeling	NN	feeling
of	IN	of
loneliness	NN	loneliness
.	SENT	.
It	PP	it
's	VBZ	be
terrible	JJ	terrible
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
feel	VBP	feel
it	PP	it
I	PP	I
immediately	RB	immediately
get	VBP	get
a	DT	a
very	RB	very
strong	JJ	strong
urge	NN	urge
to	TO	to
start	VB	start
biting	VBG	bite
at	IN	at
my	PP$	my
arm	NN	arm
,	,	,
like	IN	like
chewing	VBG	chew
and	CC	and
eating	VBG	eat
it	PP	it
.	SENT	.
But	CC	but
doing	VBG	do
it	PP	it
till	IN	till
the	DT	the
bone	NN	bone
is	VBZ	be
exposed	VBN	expose
.	SENT	.
Not	RB	not
swallowing	VBG	swallow
the	DT	the
,	,	,
flesh	NN	flesh
,	,	,
though	RB	though
.	SENT	.
Or	CC	or
if	IN	if
anyone	NN	anyone
interacts	VBZ	interact
with	IN	with
me	PP	me
I	PP	I
get	VBP	get
,	,	,
very	RB	very
angry	JJ	angry
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
bite	VB	bite
them	PP	them
in	IN	in
defense	NN	defense
.	SENT	.
I	PP	I
tried	VBD	try
looking	VBG	look
some	DT	some
things	NNS	thing
up	RB	up
but	CC	but
could	MD	could
not	RB	not
find	VB	find
anything	NN	anything
about	IN	about
it	PP	it
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
where	WRB	where
else	RB	else
to	TO	to
post	VB	post
this	DT	this
.	SENT	.
Because	IN	because
I	PP	I
just	RB	just
experience	VBP	experience
this	DT	this
feeling	NN	feeling
when	WRB	when
I	PP	I
'm	VBP	be
very	RB	very
lonely	JJ	lonely
.	SENT	.
