Hello	UH	hello
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Brandon	NP	Brandon
and	CC	and
my	PP$	my
grandma	NN	grandma
recently	RB	recently
passed	VBD	pass
away	RP	away
few	JJ	few
months	NNS	month
ago	RB	ago
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
only	JJ	only
family	NN	family
I	PP	I
had	VBD	have
.	SENT	.
I	PP	I
have	VBP	have
my	PP$	my
Instagram	NP	<unknown>
account	NN	account
.	SENT	.
I	PP	I
'm	VBP	be
not	RB	not
the	DT	the
type	NN	type
of	IN	of
guy	NN	guy
to	TO	to
really	RB	really
have	VB	have
social	JJ	social
media	NNS	medium
.	SENT	.
I	PP	I
have	VBP	have
n't	RB	n't
had	VBN	have
time	NN	time
to	TO	to
make	VB	make
friends	NNS	friend
since	IN	since
I	PP	I
spent	VBD	spend
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
working	VBG	work
to	TO	to
support	VB	support
my	PP$	my
grandma	NN	grandma
.	SENT	.
I	PP	I
can	MD	can
drop	VB	drop
my	PP$	my
handle	NN	handle
.	SENT	.
I	NP	I
'LL	NP	<unknown>
FOLLOW	NP	<unknown>
BACK	NP	Back
!	SENT	!
!	SENT	!
It	PP	it
's	VBZ	be
:	:	:
Brandflaking_	NP	<unknown>
