University	NP	University
has	VBZ	have
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
loneliest	JJS	lonely
experiences	NNS	experience
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
real	JJ	real
friends	NNS	friend
at	IN	at
school	NN	school
,	,	,
only	RB	only
people	NNS	people
I	PP	I
see	VBP	see
briefly	RB	briefly
in	IN	in
class	NN	class
.	SENT	.
No	DT	no
one	CD	one
texts	NNS	text
or	CC	or
calls	NNS	call
me	PP	me
(	(	(
trust	VB	trust
me	PP	me
,	,	,
I	PP	I
've	VBP	have
been	VBN	be
the	DT	the
constant	JJ	constant
initiator	NN	initiator
)	)	)
.	SENT	.
I	PP	I
go	VBP	go
to	TO	to
class	VB	class
,	,	,
eat	VB	eat
alone	RB	alone
,	,	,
drive	NN	drive
home	NN	home
,	,	,
study	NN	study
,	,	,
and	CC	and
spend	VBP	spend
most	JJS	most
evenings	NNS	evening
by	IN	by
myself	PP	myself
.	SENT	.
Weekends	NNS	weekend
are	VBP	be
often	RB	often
even	RB	even
more	RBR	more
sad	JJ	sad
.	SENT	.
I	PP	I
crave	VBP	crave
connection	NN	connection
and	CC	and
social	JJ	social
stimulation	NN	stimulation
,	,	,
but	CC	but
it	PP	it
feels	VBZ	feel
like	IN	like
I	PP	I
'm	VBP	be
always	RB	always
the	DT	the
one	CD	one
reaching	VBG	reach
out	RP	out
and	CC	and
rarely	RB	rarely
being	VBG	be
chosen	VBN	choose
.	SENT	.
It	PP	it
's	VBZ	have
been	VBN	be
like	IN	like
this	DT	this
since	IN	since
I	PP	I
started	VBD	start
university	NN	university
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
slowly	RB	slowly
worn	VBN	wear
me	PP	me
down	RP	down
.	SENT	.
I	PP	I
'm	VBP	be
posting	VBG	post
because	IN	because
I	PP	I
feel	VBP	feel
stuck	VBN	stick
and	CC	and
would	MD	would
really	RB	really
appreciate	VB	appreciate
hearing	NN	hearing
from	IN	from
people	NNS	people
who	WP	who
can	MD	can
relate	VB	relate
or	CC	or
who	WP	who
have	VBP	have
been	VBN	be
through	IN	through
something	NN	something
similar	JJ	similar
.	SENT	.
Did	VBD	do
anyone	NN	anyone
else	RB	else
feel	VBP	feel
this	DT	this
isolated	VBN	isolate
in	IN	in
university	NN	university
?	SENT	?
What	WP	what
helped	VBD	help
you	PP	you
cope	VB	cope
when	WRB	when
you	PP	you
felt	VBD	feel
invisible	JJ	invisible
?	SENT	?
Did	VBD	do
things	NNS	thing
improve	VB	improve
after	IN	after
this	DT	this
phase	NN	phase
of	IN	of
life	NN	life
?	SENT	?
