(	(	(
21F	NP	<unknown>
)	)	)
i	NP	i
thought	VBD	think
uni	NN	uni
would	MD	would
finally	RB	finally
be	VB	be
the	DT	the
time	NN	time
for	IN	for
me	PP	me
to	TO	to
make	VB	make
friends	NNS	friend
,	,	,
perchance	RB	perchance
even	RB	even
find	VB	find
love	NN	love
,	,	,
but	CC	but
2	CD	@card@
years	NNS	year
in	IN	in
i	NP	i
'm	VBP	be
all	RB	all
alone	RB	alone
.	SENT	.
like	VB	like
why	WRB	why
does	VBZ	do
it	PP	it
have	VB	have
to	TO	to
be	VB	be
so	RB	so
hard	JJ	hard
for	IN	for
me	PP	me
to	TO	to
make	VB	make
friends	NNS	friend
,	,	,
i	NNS	i
hate	VB	hate
being	VBG	be
lonely	JJ	lonely
but	CC	but
i	NP	i
unhelpable	NN	<unknown>
.	SENT	.
