No	DT	no
one	CD	one
in	IN	in
my	PP$	my
family	NN	family
or	CC	or
otherwise	RB	otherwise
remembered	VBD	remember
it	PP	it
’s	VBZ	be
my	PP$	my
birthday	NN	birthday
today	NN	today
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
why	WRB	why
it	PP	it
always	RB	always
hurts	VBZ	hurt
.	SENT	.
I	PP	I
guess	VBP	guess
you	PP	you
just	RB	just
assume	VBP	assume
people	NNS	people
in	IN	in
your	PP$	your
life	NN	life
remember	VB	remember
but	CC	but
they	PP	they
never	RB	never
do	VBP	do
.	SENT	.
My	PP$	my
ex	FW	ex
used	VBN	use
to	TO	to
say	VB	say
how	WRB	how
does	VBZ	do
your	PP$	your
mother	NN	mother
forget	VB	forget
when	WRB	when
she	PP	she
birthed	VBD	birth
you	PP	you
.	SENT	.
Good	JJ	good
question	NN	question
I	PP	I
guess	VBP	guess
