Hello	UH	hello
,	,	,
I	PP	I
'm	VBP	be
23m	JJ	<unknown>
from	IN	from
Spain	NP	Spain
.	SENT	.
I	PP	I
am	VBP	be
very	RB	very
socially	RB	socially
awkard	NN	<unknown>
and	CC	and
I	PP	I
've	VBP	have
never	RB	never
had	VBN	have
a	DT	a
girlfriend	NN	girlfriend
.	SENT	.
I	PP	I
understand	VBP	understand
that	IN	that
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
meet	VB	meet
people	NNS	people
is	VBZ	be
in	IN	in
real	JJ	real
life	NN	life
,	,	,
but	CC	but
I	PP	I
would	MD	would
like	VB	like
to	TO	to
have	VB	have
someone	NN	someone
to	TO	to
talk	VB	talk
to	TO	to
for	IN	for
now	RB	now
and	CC	and
maybe	RB	maybe
we	PP	we
can	MD	can
even	RB	even
meet	VB	meet
in	IN	in
person	NN	person
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
mind	VB	mind
if	IN	if
you	PP	you
are	VBP	be
not	RB	not
close	JJ	close
to	TO	to
Spain	NP	Spain
,	,	,
I	PP	I
would	MD	would
love	VB	love
to	TO	to
just	RB	just
talk	VB	talk
over	IN	over
text	NN	text
.	SENT	.
I	PP	I
'm	VBP	be
studying	VBG	study
history	NN	history
in	IN	in
university	NN	university
,	,	,
I	PP	I
play	VBP	play
rugby	NN	rugby
,	,	,
I	PP	I
like	VBP	like
to	TO	to
watch	VB	watch
MMA	NN	<unknown>
and	CC	and
I	PP	I
started	VBD	start
going	VBG	go
to	TO	to
the	DT	the
gym	NN	gym
this	DT	this
summer	NN	summer
.	SENT	.
I	PP	I
'm	VBP	be
a	DT	a
bit	NN	bit
of	IN	of
an	DT	an
npc	NN	<unknown>
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
movies	NNS	movie
,	,	,
shows	NNS	show
or	CC	or
music	NN	music
,	,	,
but	CC	but
I	PP	I
'm	VBP	be
down	RB	down
to	TO	to
try	VB	try
whatever	WDT	whatever
you	PP	you
like	VBP	like
.	SENT	.
My	PP$	my
discord	VB	discord
is	VBZ	be
jlkjnljl\_48403	JJ	<unknown>
.	SENT	.
Thanks	NNS	thanks
in	IN	in
advance	NN	advance
!	SENT	!
