oh	UH	oh
my	PP$	my
?	SENT	?
i	NP	i
just	RB	just
discovered	VBD	discover
metal	NN	metal
music	NN	music
literally	RB	literally
absorbs	VBZ	absorb
the	DT	the
sadness	NN	sadness
i	NNS	i
'm	VBP	be
feeling	VBG	feel
?	SENT	?
i	NNS	i
do	VBP	do
n't	RB	n't
know	VB	know
if	IN	if
it	PP	it
's	VBZ	be
some	DT	some
psychological	JJ	psychological
thing	NN	thing
but	CC	but
it	PP	it
seems	VBZ	seem
to	TO	to
work	VB	work
because	IN	because
i	NP	i
do	VBP	do
n't	RB	n't
feel	VB	feel
that	DT	that
sad	JJ	sad
anymore	RB	anymore
only	RB	only
a	DT	a
bit	NN	bit
of	IN	of
worry	NN	worry
for	IN	for
today	NN	today
that	WDT	that
's	VBZ	be
all	DT	all
