One	CD	one
of	IN	of
my	PP$	my
core	JJ	core
childhood	NN	childhood
friends	NNS	friend
and	CC	and
me	PP	me
parted	VBD	part
ways	NNS	way
after	IN	after
months	NNS	month
of	IN	of
him	PP	him
dodging	VBG	dodge
me	PP	me
regarding	VBG	regard
money	NN	money
that	WDT	that
was	VBD	be
owed	VBN	owe
.	SENT	.
It	PP	it
hurts	VBZ	hurt
me	PP	me
a	DT	a
little	JJ	little
bit	NN	bit
because	IN	because
we	PP	we
were	VBD	be
friends	NNS	friend
for	IN	for
so	RB	so
long	JJ	long
but	CC	but
I	PP	I
’m	NN	<unknown>
at	IN	at
a	DT	a
point	NN	point
in	IN	in
my	PP$	my
life	NN	life
where	WRB	where
I	PP	I
ca	MD	ca
n’t	RB	n't
have	VB	have
people	NNS	people
that	WDT	that
take	VBP	take
advantage	NN	advantage
of	IN	of
me	PP	me
cluttering	VBG	clutter
my	PP$	my
mind	NN	mind
.	SENT	.
My	PP$	my
psyche	NN	psyche
is	VBZ	be
already	RB	already
so	RB	so
weak	JJ	weak
.	SENT	.
I	PP	I
wonder	VBP	wonder
if	IN	if
I	PP	I
made	VBD	make
the	DT	the
right	JJ	right
choice	NN	choice
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
again	RB	again
.	SENT	.
I	PP	I
wish	VBP	wish
we	PP	we
were	VBD	be
kids	NNS	kid
again	RB	again
.	SENT	.
It	PP	it
was	VBD	be
all	DT	all
so	RB	so
simple	JJ	simple
.	SENT	.
I	PP	I
’ll	RB	<unknown>
miss	VBP	miss
him	PP	him
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
wo	MD	wo
n’t	RB	n't
even	RB	even
cross	VB	cross
his	PP$	his
mind	NN	mind
.	SENT	.
I	PP	I
know	VBP	know
he	PP	he
meant	VBD	mean
more	RBR	more
to	TO	to
me	PP	me
than	IN	than
I	PP	I
meant	VBD	mean
to	TO	to
him	PP	him
but	CC	but
it	PP	it
’s	VBZ	be
okay	JJ	okay
.	SENT	.
I	PP	I
’ve	VBP	have
learned	VBN	learn
to	TO	to
embrace	VB	embrace
this	DT	this
loneliness	NN	loneliness
.	SENT	.
It	PP	it
burns	VBZ	burn
like	IN	like
a	DT	a
hot	JJ	hot
rod	NN	rod
against	IN	against
my	PP$	my
chest	NN	chest
.	SENT	.
It	PP	it
feels	VBZ	feel
as	RB	as
though	IN	though
my	PP$	my
diaphragm	NN	diaphragm
is	VBZ	be
about	RB	about
to	TO	to
rupture	VB	rupture
.	SENT	.
It	PP	it
hurts	VBZ	hurt
but	CC	but
not	RB	not
as	RB	as
much	RB	much
as	IN	as
being	VBG	be
the	DT	the
court	NN	court
jester	NN	jester
.	SENT	.
