Heya	NP	<unknown>
,	,	,
I	PP	I
just	RB	just
ended	VBD	end
a	DT	a
toxic	JJ	toxic
4	CD	@card@
year	NN	year
long	JJ	long
distance	NN	distance
relationship	NN	relationship
.	SENT	.
Currently	RB	currently
trying	VBG	try
to	TO	to
heal	VB	heal
my	PP$	my
heart	NN	heart
it	PP	it
’s	VBZ	be
still	RB	still
aching	VBG	ache
from	IN	from
the	DT	the
betrayal	NN	betrayal
my	PP$	my
ex	NN	ex
caused	VBD	cause
.	SENT	.
I	PP	I
did	VBD	do
n’t	RB	n't
have	VB	have
much	JJ	much
opportunities	NNS	opportunity
to	TO	to
make	VB	make
friends	NNS	friend
during	IN	during
the	DT	the
relationship	NN	relationship
.	SENT	.
Let	NN	let
’s	VBZ	have
be	VB	be
friends	NNS	friend
and	CC	and
share	VB	share
the	DT	the
loneliness	NN	loneliness
:	:	:
)	)	)
