Hello	UH	hello
so	IN	so
i	NP	i
am	VBP	be
a	DT	a
introvert	NN	introvert
i	NNS	i
always	RB	always
have	VBP	have
been	VBN	be
like	IN	like
that	IN	that
my	PP$	my
mother	NN	mother
do	VBP	do
n't	RB	n't
understand	VB	understand
that	IN	that
i	NP	i
enjoy	VB	enjoy
being	VBG	be
alone	RB	alone
i	NP	i
ca	MD	ca
n't	RB	n't
be	VB	be
with	IN	with
people	NNS	people
i	NP	i
dont	NN	<unknown>
know	VBP	know
how	WRB	how
to	TO	to
start	VB	start
a	DT	a
conversation	NN	conversation
when	WRB	when
i	NNS	i
am	VBP	be
out	IN	out
i	NP	i
just	RB	just
think	VBP	think
in	IN	in
being	VBG	be
alone	RB	alone
my	PP$	my
mother	NN	mother
dont	NN	<unknown>
understand	VBP	understand
this	DT	this
but	CC	but
is	VBZ	be
not	RB	not
a	DT	a
big	JJ	big
deal	NN	deal
i	NNS	i
know	VBP	know
that	IN	that
she	PP	she
just	RB	just
care	VBP	care
for	IN	for
me	PP	me
like	VBP	like
she	PP	she
always	RB	always
do	VBP	do
And	CC	and
my	PP$	my
father	NN	father
toó	NN	<unknown>
And	CC	and
sometimes	RB	sometimes
i	NNS	i
enjoy	VBP	enjoy
going	VBG	go
out,dinner	NN	<unknown>
with	IN	with
my	PP$	my
dad	NN	dad
for	IN	for
example	NN	example
but	CC	but
like	JJ	like
i	NNS	i
say	VBP	say
i	NP	i
like	IN	like
being	VBG	be
alone	RB	alone
anyway	RB	anyway
i	NNS	i
just	RB	just
say	VBP	say
this,theres	NNS	<unknown>
anybody	NN	anybody
who	WP	who
live	VBP	live
like	IN	like
me	PP	me
?	SENT	?
