Hi	UH	hi
,	,	,
I	PP	I
am	VBP	be
feeling	VBG	feel
really	RB	really
down	RB	down
and	CC	and
would	MD	would
like	VB	like
some	DT	some
friendly	JJ	friendly
advice	NN	advice
.	SENT	.
Since	IN	since
graduation	NN	graduation
(	(	(
almost	RB	almost
4	CD	@card@
years	NNS	year
ago	RB	ago
)	)	)
,	,	,
i	NNS	i
have	VBP	have
been	VBN	be
stuck	VBN	stick
and	CC	and
struggling	VBG	struggle
to	TO	to
enter	VB	enter
the	DT	the
job	NN	job
market	NN	market
.	SENT	.
I	PP	I
have	VBP	have
done	VBN	do
nothing	NN	nothing
but	CC	but
internships	NNS	internship
and	CC	and
have	VBP	have
tried	VBN	try
to	TO	to
enter	VB	enter
so	RB	so
many	JJ	many
different	JJ	different
pathways	NNS	pathway
(	(	(
i	NP	i
even	RB	even
taught	VBD	teach
myself	PP	myself
how	WRB	how
to	TO	to
code	VB	code
)	)	)
.	SENT	.
As	IN	as
a	DT	a
result	NN	result
,	,	,
I	PP	I
soo	VBZ	<unknown>
behind	RB	behind
from	IN	from
where	WRB	where
the	DT	the
people	NNS	people
I	PP	I
graduated	VBD	graduate
with	IN	with
,	,	,
i	NNS	i
have	VBP	have
lost	VBN	lose
touch	NN	touch
with	IN	with
everyone	NN	everyone
and	CC	and
I	PP	I
’m	NN	<unknown>
the	DT	the
lowest	JJS	low
i	NNS	i
have	VBP	have
ever	RB	ever
been	VBN	be
.	SENT	.
I	PP	I
enjoy	VBP	enjoy
my	PP$	my
own	JJ	own
company	NN	company
so	IN	so
it	PP	it
has	VBZ	have
n’t	RB	n't
really	RB	really
been	VBN	be
affecting	VBG	affect
me	PP	me
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
but	CC	but
i	NNS	i
think	VBP	think
it	PP	it
’s	VBZ	be
catching	VBG	catch
up	RP	up
to	TO	to
me	PP	me
.	SENT	.
I	PP	I
have	VBP	have
always	RB	always
done	VBN	do
well	RB	well
when	WRB	when
i	NP	i
put	VBD	put
my	PP$	my
mind	NN	mind
to	TO	to
things	NNS	thing
.	SENT	.
But	CC	but
the	DT	the
one	CD	one
place	NN	place
(	(	(
career	NN	career
)	)	)
that	IN	that
i	NNS	i
have	VBP	have
put	VBN	put
all	DT	all
of	IN	of
my	PP$	my
effort	NN	effort
into	IN	into
has	VBZ	have
amounted	VBN	amount
to	TO	to
nothing	NN	nothing
.	SENT	.
This	DT	this
has	VBZ	have
caused	VBN	cause
me	PP	me
to	TO	to
be	VB	be
very	RB	very
disconnected	VBN	disconnect
from	IN	from
life	NN	life
and	CC	and
lose	VB	lose
confidence	NN	confidence
in	IN	in
myself	PP	myself
.	SENT	.
I	PP	I
am	VBP	be
even	RB	even
scared	VBN	scare
to	TO	to
speak	VB	speak
about	IN	about
myself	PP	myself
as	IN	as
i	NP	i
have	VBP	have
nothing	NN	nothing
to	TO	to
say	VB	say
about	IN	about
myself	PP	myself
.	SENT	.
I	PP	I
am	VBP	be
tried	VBN	try
of	IN	of
doing	VBG	do
this	DT	this
and	CC	and
feel	VBP	feel
disappointed	JJ	disappointed
and	CC	and
hate	VBP	hate
myself	PP	myself
everyday	JJ	everyday
for	IN	for
the	DT	the
life	NN	life
that	IN	that
i	NNS	i
am	VBP	be
living	VBG	live
.	SENT	.
Can	MD	can
someone	NN	someone
help	VB	help
me	PP	me
with	IN	with
how	WRB	how
I	PP	I
continue	VBP	continue
on	IN	on
with	IN	with
life	NN	life
as	IN	as
i	NP	i
am	VBP	be
soo	NN	<unknown>
tired	JJ	tired
,	,	,
lonely	JJ	lonely
and	CC	and
in	IN	in
a	DT	a
constant	JJ	constant
state	NN	state
of	IN	of
sadness	NN	sadness
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
