One	CD	one
thing	NN	thing
I	PP	I
really	RB	really
hate	VBP	hate
about	RB	about
myself	PP	myself
is	VBZ	be
that	IN	that
I	PP	I
ca	MD	ca
n’t	RB	n't
receive	VB	receive
kindness	NN	kindness
or	CC	or
attention	NN	attention
from	IN	from
a	DT	a
woman	NN	woman
without	IN	without
developing	VBG	develop
some	DT	some
sort	NN	sort
of	IN	of
feelings	NNS	feeling
for	IN	for
her	PP	her
eventually	RB	eventually
.	SENT	.
Even	RB	even
if	IN	if
I	PP	I
keep	VBP	keep
telling	VBG	tell
myself	PP	myself
“	``	"
she	PP	she
’s	VBZ	be
just	RB	just
being	VBG	be
nice	JJ	nice
”	''	"
“	``	"
it	PP	it
’s	VBZ	be
just	RB	just
friendly	JJ	friendly
”	''	"
there	EX	there
’s	VBZ	be
a	DT	a
small	JJ	small
dumb	JJ	dumb
part	NN	part
of	IN	of
me	PP	me
that	WDT	that
still	RB	still
develops	VBZ	develop
those	DT	those
feelings	NNS	feeling
anyway	RB	anyway
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
through	IN	through
this	DT	this
enough	JJ	enough
times	NNS	time
that	IN	that
I	PP	I
should	MD	should
know	VB	know
for	IN	for
sure	JJ	sure
by	IN	by
now	RB	now
that	IN	that
it	PP	it
’s	VBZ	be
always	RB	always
just	RB	just
them	PP	them
being	VBG	be
nice	JJ	nice
but	CC	but
I	PP	I
ca	MD	ca
n’t	RB	n't
seem	VB	seem
to	TO	to
stop	VB	stop
it	PP	it
.	SENT	.
Then	RB	then
it	PP	it
always	RB	always
just	RB	just
ends	VBZ	end
up	RP	up
being	VBG	be
weird	JJ	weird
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
remove	VB	remove
myself	PP	myself
from	IN	from
the	DT	the
situation	NN	situation
completely	RB	completely
to	TO	to
avoid	VB	avoid
making	VBG	make
things	NNS	thing
even	RB	even
more	RBR	more
weird	JJ	weird
or	CC	or
having	VBG	have
my	PP$	my
feelings	NNS	feeling
hurt	VB	hurt
when	WRB	when
it	PP	it
turns	VBZ	turn
out	IN	out
they	PP	they
already	RB	already
had	VBD	have
someone	NN	someone
else	RB	else
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
