When	WRB	when
I	PP	I
was	VBD	be
born	VBN	bear
,	,	,
my	PP$	my
mom	NN	mom
was	VBD	be
doing	VBG	do
dr*gs	NNS	<unknown>
and	CC	and
could	MD	could
n't	RB	n't
take	VB	take
care	NN	care
of	IN	of
me	PP	me
.	SENT	.
Now	RB	now
it	PP	it
's	VBZ	be
2023	CD	@card@
and	CC	and
on	IN	on
my	PP$	my
birthday	NN	birthday
she	PP	she
told	VBD	tell
me	PP	me
"	``	"
I	PP	I
'll	MD	will
see	VB	see
you	PP	you
soon	RB	soon
"	''	"
.	SENT	.
It	PP	it
's	VBZ	have
been	VBN	be
2	CD	@card@
months	NNS	month
and	CC	and
6	CD	@card@
days	NNS	day
since	IN	since
that	DT	that
.	SENT	.
I	PP	I
've	VBP	have
been	VBN	be
depressed	VBN	depress
.	SENT	.
