Hello	UH	hello
:	:	:
)	)	)
I	PP	I
hope	VBP	hope
you	PP	you
are	VBP	be
all	RB	all
well	RB	well
.	SENT	.
I	PP	I
'm	VBP	be
currently	RB	currently
based	VBN	base
in	IN	in
Scotland	NP	Scotland
but	CC	but
I	PP	I
've	VBP	have
been	VBN	be
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
cities	NNS	city
around	IN	around
the	DT	the
UK	NP	UK
and	CC	and
Ireland	NP	Ireland
recently	RB	recently
,	,	,
looking	VBG	look
for	IN	for
somewhere	RB	somewhere
to	TO	to
settle	VB	settle
down	RP	down
.	SENT	.
I	PP	I
like	VBP	like
philosophy	NN	philosophy
,	,	,
music	NN	music
,	,	,
MMA	NP	<unknown>
,	,	,
football	NN	football
(	(	(
soccer	NN	soccer
)	)	)
,	,	,
gaming	NN	gaming
and	CC	and
YouTube	NP	<unknown>
.	SENT	.
I	PP	I
'm	VBP	be
not	RB	not
really	RB	really
a	DT	a
small	JJ	small
talk	NN	talk
person	NN	person
so	RB	so
hit	VBD	hit
me	PP	me
with	IN	with
some	DT	some
deep	JJ	deep
philosophical	JJ	philosophical
questions	NNS	question
or	CC	or
hot	RB	hot
takes	VBZ	take
and	CC	and
let	NN	let
's	POS	's
talk	NN	talk
!	SENT	!
I	PP	I
've	VBP	have
just	RB	just
got	VBN	get
out	RP	out
of	IN	of
a	DT	a
kind	NN	kind
of	IN	of
long	JJ	long
relationship	NN	relationship
so	RB	so
take	VBP	take
that	IN	that
however	RB	however
you	PP	you
want	VBP	want
to	TO	to
!	SENT	!
I	PP	I
'm	VBP	be
not	RB	not
really	RB	really
in	IN	in
a	DT	a
super	JJ	super
popular	JJ	popular
part	NN	part
of	IN	of
the	DT	the
world	NN	world
but	CC	but
I	PP	I
'm	VBP	be
down	RB	down
for	IN	for
meet	VB	meet
ups	NNS	up
,	,	,
online	JJ	online
chats	NNS	chat
,	,	,
whatever	WDT	whatever
floats	VBZ	float
your	PP$	your
boat	NN	boat
!	SENT	!
I	PP	I
'll	MD	will
try	VB	try
my	PP$	my
best	JJS	good
to	TO	to
accomodate	NNS	<unknown>
