Loneliness	NN	loneliness
is	VBZ	be
such	PDT	such
an	DT	an
odd	JJ	odd
feeling	NN	feeling
in	IN	in
the	DT	the
modern	JJ	modern
world	NN	world
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
delete	VB	delete
instagram	NN	<unknown>
because	IN	because
it	PP	it
felt	VBD	feel
like	IN	like
,	,	,
especially	RB	especially
in	IN	in
crisis	NN	crisis
,	,	,
I	PP	I
had	VBD	have
all	PDT	all
these	DT	these
spectators	NNS	spectator
,	,	,
and	CC	and
not	RB	not
a	DT	a
soul	NN	soul
to	TO	to
really	RB	really
talk	VB	talk
to	TO	to
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
needed	VBD	need
a	DT	a
therapist	NN	therapist
.	SENT	.
I	PP	I
know	VBP	know
my	PP$	my
friends	NNS	friend
are	VBP	be
here	RB	here
for	IN	for
me	PP	me
,	,	,
but	CC	but
the	DT	the
things	NNS	thing
that	WDT	that
I	PP	I
need	VBP	need
them	PP	them
to	TO	to
be	VB	be
here	RB	here
for	IN	for
I	PP	I
ca	MD	ca
n’t	RB	n't
put	VB	put
on	IN	on
them	PP	them
because	IN	because
I	PP	I
ca	MD	ca
n’t	RB	n't
even	RB	even
handle	VB	handle
them	PP	them
myself	PP	myself
.	SENT	.
And	CC	and
I	PP	I
am	VBP	be
a	DT	a
handler	NN	handler
.	SENT	.
I	PP	I
’m	NN	<unknown>
so	RB	so
tired	VBN	tire
of	IN	of
being	VBG	be
resilient	JJ	resilient
.	SENT	.
Sometimes	RB	sometimes
it	PP	it
just	RB	just
feels	VBZ	feel
like	IN	like
everything	NN	everything
I	PP	I
’ve	VBP	have
healed	VBN	heal
crumbles	NNS	crumble
like	IN	like
a	DT	a
home	NN	home
with	IN	with
no	DT	no
support	NN	support
beams	VBZ	beam
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
have	VBP	have
to	TO	to
act	VB	act
like	IN	like
the	DT	the
world‘s	NNS	<unknown>
not	RB	not
on	IN	on
fire	NN	fire
?	SENT	?
It	PP	it
does	VBZ	do
n’t	RB	n't
feel	VB	feel
normal	JJ	normal
.	SENT	.
I	PP	I
think	VBP	think
I	PP	I
’m	NN	<unknown>
the	DT	the
lonely	JJ	lonely
I	PP	I
ever	RB	ever
felt	VBD	feel
because	IN	because
I	PP	I
’m	NN	<unknown>
having	VBG	have
issues	NNS	issue
with	IN	with
my	PP$	my
mom	NN	mom
and	CC	and
I	PP	I
realize	VBP	realize
that	IN	that
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
all	PDT	all
my	PP$	my
friends	NNS	friend
who	WP	who
are	VBP	be
mostly	RB	mostly
coupled	VBN	couple
and	CC	and
they	PP	they
all	RB	all
have	VBP	have
people	NNS	people
to	TO	to
go	VB	go
home	NN	home
to	TO	to
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
night	NN	night
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
even	RB	even
picked	VBN	pick
by	IN	by
my	PP$	my
mom	NN	mom
.	SENT	.
I	PP	I
’m	NN	<unknown>
no	DT	no
one	CD	one
’s	POS	's
first	JJ	first
choice	NN	choice
.	SENT	.
I	PP	I
’m	NN	<unknown>
trying	VBG	try
to	TO	to
be	VB	be
my	PP$	my
own	JJ	own
first	JJ	first
choice	NN	choice
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
so	RB	so
hard	JJ	hard
to	TO	to
see	VB	see
everyone	NN	everyone
around	RB	around
you	PP	you
be	VB	be
normal	JJ	normal
enough	RB	enough
to	TO	to
have	VB	have
someone	NN	someone
loves	VBZ	love
them	PP	them
.	SENT	.
I	PP	I
just	RB	just
feel	VBP	feel
like	IN	like
I	PP	I
was	VBD	be
fucked	VBN	fuck
from	IN	from
the	DT	the
Start	NP	Start
.	SENT	.
So	RB	so
fucked	VBD	fuck
I	PP	I
’ve	VBP	have
had	VBN	have
two	CD	two
therapist	NN	therapist
ghosted	VBN	ghost
after	IN	after
intake	NN	intake
.	SENT	.
The	DT	the
things	NNS	thing
that	WDT	that
I	PP	I
feel	VBP	feel
alone	RB	alone
about	RB	about
,	,	,
I	PP	I
would	MD	would
hate	VB	hate
for	IN	for
anyone	NN	anyone
to	TO	to
relate	VB	relate
,	,	,
but	CC	but
it	PP	it
just	RB	just
feels	VBZ	feel
like	IN	like
no	DT	no
one	CD	one
really	RB	really
gets	VBZ	get
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
’s	VBZ	be
not	RB	not
like	IN	like
I	PP	I
’ve	VBP	have
had	VBD	have
the	DT	the
worst	JJS	bad
life	NN	life
ever	RB	ever
it	PP	it
just	RB	just
is	VBZ	be
relentless	JJ	relentless
.	SENT	.
I	PP	I
’m	NN	<unknown>
feeling	NN	feeling
like	IN	like
my	PP$	my
time	NN	time
will	MD	will
expire	VB	expire
soon	RB	soon
.	SENT	.
Every	DT	every
day	NN	day
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
’m	NN	<unknown>
holding	VBG	hold
on	IN	on
for	IN	for
others	NNS	other
not	RB	not
for	IN	for
myself	PP	myself
and	CC	and
I	PP	I
know	VBP	know
someday	RB	someday
I	PP	I
will	MD	will
take	VB	take
my	PP$	my
life	NN	life
.	SENT	.
