Hello	UH	hello
Everyone	NP	<unknown>
,	,	,
So	RB	so
,	,	,
I	PP	I
am	VBP	be
a	DT	a
uni	NN	uni
grad	NN	grad
now	RB	now
working	VBG	work
a	DT	a
corporate	JJ	corporate
job	NN	job
.	SENT	.
B4	NP	<unknown>
COVID	NP	<unknown>
I	PP	I
was	VBD	be
unhealthy	JJ	unhealthy
,	,	,
fat	JJ	fat
and	CC	and
depressed	JJ	depressed
but	CC	but
after	IN	after
I	PP	I
got	VBD	get
healthier	JJR	healthy
but	CC	but
my	PP$	my
depression	NN	depression
has	VBZ	have
n’t	RB	n't
gone	VBN	go
.	SENT	.
More	RBR	more
noticeable	JJ	noticeable
if	IN	if
my	PP$	my
loneliness	NN	loneliness
,	,	,
I	PP	I
am	VBP	be
more	RBR	more
confident	JJ	confident
than	IN	than
before	RB	before
but	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
how	WRB	how
to	TO	to
make	VB	make
friends	NNS	friend
anymore	RB	anymore
.	SENT	.
What	WP	what
affects	VBZ	affect
me	PP	me
more	JJR	more
is	VBZ	be
my	PP$	my
inability	NN	inability
to	TO	to
get	VB	get
women	NNS	woman
,	,	,
I	PP	I
just	RB	just
do	VBP	do
n’t	RB	n't
know	VB	know
how	WRB	how
and	CC	and
maybe	RB	maybe
I	CD	@card@
’m	NN	<unknown>
just	RB	just
being	VBG	be
a	DT	a
bum	NN	bum
.	SENT	.
I	PP	I
have	VBP	have
tried	VBN	try
to	TO	to
be	VB	be
more	RBR	more
involved	VBN	involve
in	IN	in
events	NNS	event
but	CC	but
I	PP	I
tend	VBP	tend
to	TO	to
feel	VB	feel
more	RBR	more
lonely	JJ	lonely
cuz	NN	<unknown>
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
anybody	NN	anybody
to	TO	to
be	VB	be
with	IN	with
.	SENT	.
I	PP	I
know	VBP	know
people	NNS	people
but	CC	but
not	RB	not
like	IN	like
anybody	NN	anybody
needs	VBZ	need
me	PP	me
in	IN	in
their	PP$	their
company	NN	company
.	SENT	.
And	CC	and
my	PP$	my
job	NN	job
is	VBZ	be
affecting	VBG	affect
me	PP	me
too	RB	too
,	,	,
I	PP	I
was	VBD	be
steps	NNS	step
away	RB	away
from	IN	from
taking	VBG	take
myself	PP	myself
anyway	RB	anyway
from	IN	from
this	DT	this
world	NN	world
once	RB	once
.	SENT	.
Although	IN	although
this	DT	this
is	VBZ	be
primarily	RB	primarily
because	IN	because
I	PP	I
know	VBP	know
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
a	DT	a
serious	JJ	serious
social	JJ	social
life	NN	life
and	CC	and
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
have	VBP	have
amazing	JJ	amazing
parents	NNS	parent
but	CC	but
not	RB	not
having	VBG	have
serious	JJ	serious
friends	NNS	friend
or	CC	or
a	DT	a
girlfriend	NN	girlfriend
sucks	VBZ	suck
and	CC	and
being	VBG	be
an	DT	an
only	JJ	only
child	NN	child
does	VBZ	do
n’t	RB	n't
help	VB	help
.	SENT	.
Any	DT	any
advice	NN	advice
would	MD	would
be	VB	be
greatly	RB	greatly
appreciated	VBN	appreciate
,	,	,
thanks	NNS	thanks
in	IN	in
advance	NN	advance
.	SENT	.
