Hello	UH	hello
👋🏼	NN	<unknown>
I	CD	@card@
’m	NN	<unknown>
new	JJ	new
here	RB	here
looking	VBG	look
for	IN	for
someone	NN	someone
or	CC	or
someone	NN	someone
’s	VBZ	be
to	TO	to
chat	VB	chat
with	IN	with
about	IN	about
our	PP$	our
days	NNS	day
,	,	,
vent	VB	vent
,	,	,
maybe	RB	maybe
find	VB	find
a	DT	a
genuine	JJ	genuine
connection	NN	connection
with	IN	with
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
many	JJ	many
friends	NNS	friend
and	CC	and
am	VBP	be
kind	JJ	kind
of	IN	of
a	DT	a
private	JJ	private
person	NN	person
which	WDT	which
is	VBZ	be
probably	RB	probably
why	WRB	why
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
any	DT	any
meaningful	JJ	meaningful
friendships	NNS	friendship
.	SENT	.
But	CC	but
maybe	RB	maybe
I	PP	I
can	MD	can
open	VB	open
up	RP	up
anonymously	RB	anonymously
and	CC	and
find	VB	find
someone	NN	someone
who	WP	who
can	MD	can
relate	VB	relate
?	SENT	?
✨	NN	<unknown>
