Most	JJS	most
of	IN	of
what	WP	what
I	PP	I
need	VBP	need
to	TO	to
do	VB	do
/	SYM	/
like	JJ	like
to	TO	to
do	VB	do
I	PP	I
can	MD	can
do	VB	do
at	IN	at
home	NN	home
.	SENT	.
My	PP$	my
interests	NNS	interest
are	VBP	be
n't	RB	n't
very	RB	very
outdoorsy	JJ	<unknown>
in	IN	in
general	NN	general
.	SENT	.
Climbing	VBG	climb
and	CC	and
parkour	NN	<unknown>
interest	NN	interest
me	PP	me
but	CC	but
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
the	DT	the
resources	NNS	resource
to	TO	to
try	VB	try
those	DT	those
things	NNS	thing
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
what	WP	what
I	PP	I
enjoy	VBP	enjoy
to	TO	to
do	VB	do
I	PP	I
can	MD	can
just	RB	just
do	VB	do
in	IN	in
front	NN	front
of	IN	of
my	PP$	my
PC	NN	PC
.	SENT	.
