hey	UH	hey
everyone	NN	everyone
there	RB	there
used	VBN	use
to	TO	to
be	VB	be
a	DT	a
discord	VBP	discord
server	NN	server
for	IN	for
lonersempire	NN	<unknown>
but	CC	but
ca	MD	ca
n't	RB	n't
find	VB	find
the	DT	the
link	NN	link
it	PP	it
was	VBD	be
been	VBN	be
run	VBN	run
by	IN	by
some	DT	some
of	IN	of
my	PP$	my
old	JJ	old
friends	NNS	friend
so	RB	so
if	IN	if
any	DT	any
member	NN	member
of	IN	of
that	DT	that
server	NN	server
is	VBZ	be
reading	VBG	read
this	DT	this
message	NN	message
dm	NN	<unknown>
me	PP	me
