So	RB	so
I	PP	I
only	RB	only
ever	RB	ever
had	VBD	have
two	CD	two
best	JJS	good
friends	NNS	friend
in	IN	in
my	PP$	my
life	NN	life
which	WDT	which
is	VBZ	be
my	PP$	my
friend	NN	friend
group	NN	group
including	VBG	include
my	PP$	my
sister	NN	sister
.	SENT	.
I	PP	I
ended	VBD	end
it	PP	it
with	IN	with
one	CD	one
of	IN	of
them	PP	them
bc	NN	bc
she	PP	she
is	VBZ	be
very	RB	very
toxic	JJ	toxic
to	TO	to
us	PP	us
.	SENT	.
But	CC	but
my	PP$	my
other	JJ	other
best	JJS	good
friend	NN	friend
did	VBD	do
not	RB	not
end	VB	end
it	PP	it
with	IN	with
her	PP	her
because	IN	because
she	PP	she
does	VBZ	do
n’t	RB	n't
want	VB	want
to	TO	to
make	VB	make
it	PP	it
awkward	JJ	awkward
.	SENT	.
I	PP	I
understand	VBP	understand
that	IN	that
but	RB	but
if	IN	if
my	PP$	my
other	JJ	other
friend	NN	friend
knows	VBZ	know
that	IN	that
the	DT	the
toxic	JJ	toxic
best	JJS	good
friend	NN	friend
has	VBZ	have
always	RB	always
hurts	VBZ	hurt
me	PP	me
and	CC	and
my	PP$	my
sister	NN	sister
,	,	,
and	CC	and
she	PP	she
hurts	VBZ	hurt
her	PP	her
too	RB	too
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
be	VB	be
friends	NNS	friend
with	IN	with
her	PP$	her
anymore	RB	anymore
either	RB	either
.	SENT	.
The	DT	the
only	JJ	only
reason	NN	reason
why	WRB	why
I	PP	I
’m	NN	<unknown>
still	RB	still
going	VBG	go
to	TO	to
be	VB	be
friends	NNS	friend
with	IN	with
her	PP	her
is	VBZ	be
only	RB	only
for	IN	for
my	PP$	my
sister	NN	sister
.	SENT	.
If	IN	if
my	PP$	my
friend	NN	friend
ca	MD	ca
n’t	RB	n't
stand	VB	stand
up	RP	up
in-front	NN	<unknown>
of	IN	of
our	PP$	our
toxic	JJ	toxic
friend	NN	friend
,	,	,
then	RB	then
what	WP	what
will	MD	will
happen	VB	happen
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
do	VBP	do
n’t	RB	n't
think	VB	think
we	PP	we
never	RB	never
encouraged	VBD	encourage
her	PP	her
or	CC	or
supported	VBD	support
her	PP	her
through	IN	through
it	PP	it
.	SENT	.
The	DT	the
day	NN	day
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
tell	VB	tell
the	DT	the
toxic	JJ	toxic
one	CD	one
we	PP	we
were	VBD	be
ending	VBG	end
it	PP	it
,	,	,
my	PP$	my
friend	NN	friend
did	VBD	do
n’t	RB	n't
come	VB	come
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
be	VB	be
in	IN	in
that	DT	that
friend	NN	friend
group	NN	group
or	CC	or
be	VB	be
with	IN	with
a	DT	a
friend	NN	friend
who	WP	who
ca	MD	ca
n’t	RB	n't
stand	VB	stand
up	RP	up
for	IN	for
themselves	PP	themselves
or	CC	or
her	PP$	her
friends	NNS	friend
either	RB	either
.	SENT	.
I	PP	I
am	VBP	be
also	RB	also
drained	VBN	drain
from	IN	from
it	PP	it
bc	NN	bc
it	PP	it
’s	VBZ	have
been	VBN	be
going	VBG	go
on	IN	on
for	IN	for
6	CD	@card@
years	NNS	year
.	SENT	.
As	IN	as
mean	NN	mean
as	IN	as
that	DT	that
sounds	NNS	sound
I	PP	I
have	VBP	have
to	TO	to
protect	VB	protect
myself	PP	myself
.	SENT	.
Will	MD	will
I	PP	I
be	VB	be
lonely	JJ	lonely
after	IN	after
this	DT	this
with	IN	with
no	DT	no
friends	NNS	friend
.	SENT	.
Yes	UH	yes
.	SENT	.
It	PP	it
’s	VBZ	be
either	DT	either
me	PP	me
or	CC	or
her	PP$	her
.	SENT	.
