11:51	CD	@card@
pm	NN	pm
and	CC	and
I	PP	I
’m	NN	<unknown>
realizing	VBG	realize
nothing	NN	nothing
really	RB	really
good	RB	good
came	VBD	come
from	IN	from
my	PP$	my
time	NN	time
in	IN	in
high	JJ	high
school	NN	school
.	SENT	.
I	PP	I
was	VBD	be
too	RB	too
stuck	VBN	stick
in	IN	in
my	PP$	my
mind	NN	mind
to	TO	to
do	VB	do
what	WP	what
I	PP	I
wanted	VBD	want
.	SENT	.
Yeah	RB	yeah
there	EX	there
were	VBD	be
certainly	RB	certainly
some	DT	some
good	JJ	good
moments	NNS	moment
but	CC	but
I	PP	I
missed	VBD	miss
out	RP	out
on	IN	on
so	RB	so
much	JJ	much
because	IN	because
I	PP	I
hated	VBD	hate
academics	NNS	academic
and	CC	and
I	PP	I
was	VBD	be
too	RB	too
afraid	JJ	afraid
to	TO	to
try	VB	try
new	JJ	new
things	NNS	thing
.	SENT	.
What	WP	what
the	DT	the
heck	NN	heck
was	VBD	be
I	PP	I
thinking	JJ	thinking
.	SENT	.
