Hello	UH	hello
,	,	,
most	JJS	most
of	IN	of
you	PP	you
have	VBP	have
a	DT	a
family	NN	family
to	TO	to
go	VB	go
to	TO	to
on	IN	on
christmas	NNS	<unknown>
I	PP	I
guess	VBP	guess
(	(	(
and	CC	and
in	IN	in
the	DT	the
US	NP	US
thankgsiving	NN	<unknown>
.	SENT	.
Tomorrow	NN	tomorrow
I	PP	I
think	VBP	think
?	SENT	?
)	)	)
but	CC	but
I	PP	I
was	VBD	be
wonderng	VBN	<unknown>
how	WRB	how
you	PP	you
´re	VBP	<unknown>
going	VBG	go
to	TO	to
spend	VB	spend
new	JJ	new
year	NN	year
for	IN	for
example	NN	example
.	SENT	.
I	PP	I
for	IN	for
my	PP$	my
part	NN	part
will	MD	will
have	VB	have
a	DT	a
date	NN	date
with	IN	with
an	DT	an
assortment	NN	assortment
of	IN	of
cheeses	NNS	cheese
,	,	,
no	DT	no
wine	NN	wine
(	(	(
cause	VB	cause
I	PP	I
am	VBP	be
on	IN	on
1000	CD	@card@
meds	NNS	<unknown>
right	RB	right
now	RB	now
)	)	)
and	CC	and
something	NN	something
sweet	JJ	sweet
and	CC	and
more	RBR	more
expensive	JJ	expensive
than	IN	than
usual	JJ	usual
for	IN	for
an	DT	an
end	NN	end
.	SENT	.
I	PP	I
´m	NN	<unknown>
going	VBG	go
to	TO	to
meditate	VB	meditate
as	IN	as
I	PP	I
do	VBP	do
each	DT	each
year	NN	year
,	,	,
watch	VBP	watch
creepy	JJ	creepy
youtube	NN	<unknown>
videos	NNS	video
and	CC	and
read	VB	read
a	DT	a
bit	NN	bit
and	CC	and
watch	VB	watch
the	DT	the
fireworks	NNS	firework
in	IN	in
case	NN	case
I	PP	I
am	VBP	be
still	RB	still
awake	RB	awake
then	RB	then
.	SENT	.
A	DT	a
perfect	JJ	perfect
end	NN	end
for	IN	for
a	DT	a
day	NN	day
.	SENT	.
:	:	:
)	)	)
So	IN	so
what	WP	what
are	VBP	be
your	PP$	your
plans	NNS	plan
?	SENT	?
