Hi	UH	hi
...	:	...
I	PP	I
'm	VBP	be
just	RB	just
a	DT	a
socially	RB	socially
awkward	JJ	awkward
disabled	JJ	disabled
adult	NN	adult
,	,	,
(	(	(
31	CD	@card@
)	)	)
Looking	VBG	look
to	TO	to
meet	VB	meet
people	NNS	people
around	IN	around
my	PP$	my
age	NN	age
with	IN	with
common	JJ	common
interests	NNS	interest
...	:	...
Please	NP	<unknown>
note	NN	note
that	IN	that
I	PP	I
have	VBP	have
trauma	NN	trauma
and	CC	and
trust	NN	trust
issues	NNS	issue
due	JJ	due
to	TO	to
past	JJ	past
toxic	NN	toxic
/	SYM	/
mentaly	JJ	<unknown>
abusive	JJ	abusive
relationships	NNS	relationship
...	:	...
so	RB	so
I	PP	I
take	VBP	take
a	DT	a
while	NN	while
to	TO	to
warm	VB	warm
up	RP	up
to	TO	to
people	NNS	people
...	:	...
but	CC	but
I	PP	I
really	RB	really
wanna	VBP	wanna
get	VB	get
out	RP	out
there	RB	there
again	RB	again
...	:	...
Things	NNS	thing
I	PP	I
'm	VBP	be
obsessed	VBN	obsess
with	IN	with
VIDEO	NP	Video
GAMES	NP	Games
!	SENT	!
!	SENT	!
(	(	(
Some	DT	some
of	IN	of
my	PP$	my
faves	NNS	<unknown>
)	)	)
Life	NP	Life
is	VBZ	be
strange	JJ	strange
Spyro	NP	<unknown>
the	DT	the
dragon	NN	dragon
Crash	NN	crash
bandicoot	NN	bandicoot
Ratchet	NP	<unknown>
&	CC	&
Clank	NP	<unknown>
Skylanders	NP	<unknown>
Psychonauts	NP	<unknown>
Sky	NP	Sky
cotl	NN	<unknown>
Beyond	IN	beyond
two	CD	two
souls	NNS	soul
Heavy	NP	Heavy
Rain	NP	Rain
Detroit	NP	Detroit
become	VBP	become
human	JJ	human
Until	IN	until
dawn	NN	dawn
The	DT	the
Quarry	NP	Quarry
Final	JJ	final
fantasy	NN	fantasy
A	DT	a
way	NN	way
out	IN	out
It	PP	it
takes	VBZ	take
two	CD	two
Split	NP	Split
fiction	NN	fiction
Cartoons	NP	<unknown>
!	SENT	!
!	SENT	!
!	SENT	!
(	(	(
Some	DT	some
favorites	NNS	favorite
)	)	)
Invader	NP	<unknown>
Zim	NP	Zim
Grim	NP	Grim
adventures	NNS	adventure
of	IN	of
Billy	NP	Billy
and	CC	and
Mandy	NP	Mandy
My	NP	My
little	JJ	little
pony	NN	pony
(	(	(
and	CC	and
pretty	RB	pretty
much	JJ	much
anything	NN	anything
that	WDT	that
was	VBD	be
out	RB	out
late	JJ	late
90s	NNS	<unknown>
,	,	,
and	CC	and
early	RB	early
2000s	JJ	<unknown>
)	)	)
Drawing	NN	drawing
and	CC	and
designing	VBG	design
cute	JJ	cute
cartoon	NN	cartoon
characters	NNS	character
!	SENT	!
I	PP	I
do	VBP	do
mostly	RB	mostly
digital	JJ	digital
,	,	,
but	CC	but
I	PP	I
do	VBP	do
traditional	JJ	traditional
from	IN	from
time	NN	time
to	TO	to
time	NN	time
!	SENT	!
Movies	NNS	movie
!	SENT	!
!	SENT	!
!	SENT	!
Mostly	RB	mostly
Disney	NP	Disney
and	CC	and
horror/thirller	NP	<unknown>
(	(	(
Really	RB	really
obsessed	VBN	obsess
with	IN	with
Chucky	NP	Chucky
and	CC	and
Scream	NP	<unknown>
!	SENT	!
)	)	)
I	PP	I
live	VBP	live
in	IN	in
the	DT	the
USA	NP	USA
and	CC	and
run	VBN	run
on	IN	on
Pasific	JJ	<unknown>
standard	JJ	standard
time	NN	time
If	IN	if
you	PP	you
're	VBP	be
around	IN	around
my	PP$	my
age	NN	age
and	CC	and
share	NN	share
common	JJ	common
interests	NNS	interest
please	VBP	please
let	VB	let
me	PP	me
know	VB	know
and	CC	and
if	IN	if
I	PP	I
feel	VBP	feel
we	PP	we
match	VBP	match
well	RB	well
I	PP	I
can	MD	can
DM	NP	DM
my	PP$	my
Discord	NN	<unknown>
!	SENT	!
^^	NP	<unknown>
Please	NP	<unknown>
do	VBP	do
n't	RB	n't
message	NN	message
if	IN	if
your	PP$	your
just	RB	just
going	VBG	go
to	TO	to
immediately	RB	immediately
ghost	VB	ghost
me	PP	me
...	:	...
I	PP	I
'm	VBP	be
sick	JJ	sick
of	IN	of
that	DT	that
happening	NN	happening
...	:	...
I	PP	I
'm	VBP	be
looking	VBG	look
for	IN	for
long	JJ	long
term	NN	term
friends	NNS	friend
who	WP	who
want	VBP	want
to	TO	to
chat	VB	chat
and	CC	and
hang	VB	hang
out	RP	out
frequently.	NN	<unknown>
.	SENT	.
if	IN	if
you	PP	you
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
commit	VB	commit
to	TO	to
a	DT	a
friendship	NN	friendship
please	RB	please
do	VBP	do
n't	RB	n't
offer	VB	offer
it	PP	it
...	:	...
.	SENT	.
:(	NN	<unknown>
I	PP	I
also	RB	also
ca	MD	ca
n't	RB	n't
grammar	NN	grammar
for	IN	for
my	PP$	my
life	NN	life
.	SENT	.
