When	WRB	when
I	PP	I
say	VBP	say
I	PP	I
love	VBP	love
to	TO	to
be	VB	be
alone	RB	alone
.	SENT	.
Is	VBZ	be
that	IN	that
I	PP	I
enjoy	VBP	enjoy
my	PP$	my
own	JJ	own
presence	NN	presence
.	SENT	.
One	CD	one
reason	NN	reason
I	PP	I
hate	VBP	hate
going	VBG	go
to	TO	to
school	NN	school
is	VBZ	be
being	VBG	be
surrounded	VBN	surround
by	IN	by
so	RB	so
many	JJ	many
people	NNS	people
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
socially	RB	socially
awkward	JJ	awkward
or	CC	or
anything	NN	anything
.	SENT	.
I	PP	I
’ll	RB	<unknown>
talk	VB	talk
to	TO	to
anybody	NN	anybody
.	SENT	.
That	DT	that
’s	VBZ	be
if	IN	if
I	PP	I
wanted	VBD	want
to	TO	to
.	SENT	.
Even	RB	even
at	IN	at
lunch	NN	lunch
.	SENT	.
I	PP	I
look	VBP	look
for	IN	for
a	DT	a
table	NN	table
that	WDT	that
’s	VBZ	be
remotely	RB	remotely
away	RB	away
from	IN	from
people	NNS	people
.	SENT	.
Most	JJS	most
people	NNS	people
I	PP	I
consider	VBP	consider
associates	NNS	associate
because	IN	because
I	PP	I
just	RB	just
associate	VBP	associate
with	IN	with
them	PP	them
but	CC	but
they	PP	they
’re	VBP	be
not	RB	not
my	PP$	my
friend	NN	friend
.	SENT	.
I	PP	I
only	RB	only
consider	VBP	consider
like	IN	like
4	CD	@card@
people	NNS	people
my	PP$	my
friends	NNS	friend
.	SENT	.
My	PP$	my
brother	NN	brother
who	WP	who
goes	VBZ	go
to	TO	to
school	NN	school
with	IN	with
me	PP	me
is	VBZ	be
the	DT	the
only	JJ	only
one	CD	one
I	PP	I
consider	VBP	consider
my	PP$	my
best	JJS	good
friend	NN	friend
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
still	RB	still
rather	RB	rather
be	VB	be
by	IN	by
myself	PP	myself
.	SENT	.
It	PP	it
’s	VBZ	be
weird	JJ	weird
too	RB	too
.	SENT	.
Because	IN	because
in	IN	in
my	PP$	my
elementary	JJ	elementary
and	CC	and
middle	JJ	middle
school	NN	school
years	NNS	year
.	SENT	.
I	PP	I
did	VBD	do
n’t	RB	n't
have	VB	have
anybody	NN	anybody
I	PP	I
could	MD	could
talk	VB	talk
to	TO	to
.	SENT	.
Elementary	JJ	elementary
I	PP	I
was	VBD	be
bullied	VBN	bully
for	IN	for
being	VBG	be
fat	JJ	fat
.	SENT	.
Which	WDT	which
sort	NN	sort
of	IN	of
traumatized	VBD	traumatize
me	PP	me
.	SENT	.
Middle	JJ	middle
school	NN	school
I	PP	I
was	VBD	be
still	RB	still
being	VBG	be
bullied	VBN	bully
for	IN	for
being	VBG	be
fat	JJ	fat
.	SENT	.
That	DT	that
was	VBD	be
one	CD	one
reason	NN	reason
I	PP	I
did	VBD	do
n’t	RB	n't
wanna	VB	wanna
talk	NN	talk
to	TO	to
anybody	NN	anybody
.	SENT	.
I	PP	I
was	VBD	be
apparently	RB	apparently
popular	JJ	popular
6th	JJ	6th
grade	NN	grade
.	SENT	.
I	PP	I
did	VBD	do
n’t	RB	n't
notice	VB	notice
until	IN	until
somebody	NN	somebody
told	VBD	tell
me	PP	me
3	CD	@card@
year	NN	year
’s	VBZ	be
later	RBR	later
.	SENT	.
That	WDT	that
just	RB	just
goes	VBZ	go
to	TO	to
show	VB	show
that	IN	that
even	RB	even
the	DT	the
“	``	"
popular	JJ	popular
”	''	"
people	NNS	people
are	VBP	be
n’t	RB	n't
always	RB	always
surrounded	VBN	surround
by	IN	by
friends	NNS	friend
and	CC	and
a	DT	a
care	NN	care
loving	JJ	loving
family	NN	family
.	SENT	.
Fast	RB	fast
forward	RB	forward
to	TO	to
know	VB	know
.	SENT	.
I	PP	I
learned	VBD	learn
the	DT	the
difference	NN	difference
of	IN	of
being	VBG	be
lonely	JJ	lonely
and	CC	and
alone	RB	alone
.	SENT	.
I	PP	I
’m	NN	<unknown>
alone	RB	alone
.	SENT	.
Not	RB	not
lonely	JJ	lonely
.	SENT	.
I	PP	I
have	VBP	have
people	NNS	people
I	PP	I
can	MD	can
talk	VB	talk
to	TO	to
.	SENT	.
I	PP	I
just	RB	just
prefer	VBP	prefer
to	TO	to
be	VB	be
by	IN	by
myself(alone	NN	<unknown>
)	)	)
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
get	VB	get
married	VBN	marry
neither	RB	neither
.	SENT	.
The	DT	the
thought	NN	thought
of	IN	of
no	DT	no
loud	JJ	loud
noise	NN	noise
.	SENT	.
No	DT	no
drama	NN	drama
.	SENT	.
It	PP	it
feels	VBZ	feel
good	RB	good
envision	VB	envision
.	SENT	.
