Hello	UH	hello
.	SENT	.
I	PP	I
(	(	(
M19	NP	<unknown>
)	)	)
am	VBP	be
beginning	VBG	begin
my	PP$	my
second	JJ	second
year	NN	year
of	IN	of
college	NN	college
tomorrow	NN	tomorrow
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
a	DT	a
very	RB	very
isolated	VBN	isolate
person	NN	person
my	PP$	my
whole	JJ	whole
life	NN	life
.	SENT	.
I	PP	I
never	RB	never
had	VBD	have
siblings	NNS	sibling
,	,	,
I	PP	I
did	VBD	do
n’t	RB	n't
have	VB	have
a	DT	a
single	JJ	single
friend	NN	friend
until	IN	until
6th	JJ	6th
grade	NN	grade
(	(	(
that	DT	that
friendship	NN	friendship
just	RB	just
ended	VBN	end
)	)	)
,	,	,
I	PP	I
never	RB	never
had	VBD	have
close	JJ	close
relationships	NNS	relationship
with	IN	with
any	DT	any
family	NN	family
member	NN	member
,	,	,
and	CC	and
my	PP$	my
job	NN	job
is	VBZ	be
seasonal	JJ	seasonal
,	,	,
so	RB	so
I	PP	I
do	VBP	do
n’t	RB	n't
see	VB	see
the	DT	the
co	NN	Co
workers	NNS	worker
there	RB	there
beyond	IN	beyond
a	DT	a
few	JJ	few
months	NNS	month
a	DT	a
year	NN	year
.	SENT	.
Last	JJ	last
year	NN	year
(	(	(
my	PP$	my
first	JJ	first
year	NN	year
of	IN	of
college	NN	college
)	)	)
I	PP	I
was	VBD	be
in	IN	in
a	DT	a
horrible	JJ	horrible
social	JJ	social
situation	NN	situation
that	WDT	that
was	VBD	be
harmful	JJ	harmful
and	CC	and
dangerous	JJ	dangerous
for	IN	for
me	PP	me
.	SENT	.
I	PP	I
now	RB	now
am	VBP	be
going	VBG	go
into	IN	into
my	PP$	my
second	JJ	second
year	NN	year
of	IN	of
university	NN	university
entirely	RB	entirely
alone	RB	alone
.	SENT	.
My	PP$	my
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
I	PP	I
“	``	"
put	VB	put
myself	PP	myself
out	RP	out
there	RB	there
”	''	"
?	SENT	?
Or	CC	or
make	VB	make
friends	NNS	friend
?	SENT	?
I	PP	I
’ve	VBP	have
asked	VBN	ask
this	DT	this
question	NN	question
a	DT	a
lot	NN	lot
,	,	,
so	RB	so
here	RB	here
are	VBP	be
some	DT	some
things	NNS	thing
I	PP	I
’ve	VBP	have
already	RB	already
tried/things	NNS	<unknown>
to	TO	to
consider	VB	consider
.	SENT	.
1	LS	1
.	SENT	.
I	PP	I
’ve	VBP	have
tried	VBN	try
joining	VBG	join
clubs	NNS	club
,	,	,
but	CC	but
not	RB	not
only	RB	only
does	VBZ	do
my	PP$	my
school	NN	school
have	VBP	have
very	RB	very
few	JJ	few
clubs	NNS	club
,	,	,
but	CC	but
all	RB	all
I	PP	I
joined	VBD	join
are	VBP	be
disbanded	VBN	disband
.	SENT	.
I	PP	I
look	VBP	look
at	IN	at
the	DT	the
club	NN	club
list	NN	list
everyday	JJ	everyday
,	,	,
and	CC	and
I	PP	I
have	VBP	have
n’t	RB	n't
seen	VBN	see
anything	NN	anything
I	PP	I
can	MD	can
really	RB	really
join	VB	join
.	SENT	.
I	PP	I
ca	MD	ca
n’t	RB	n't
make	VB	make
my	PP$	my
own	JJ	own
until	IN	until
I	PP	I
have	VBP	have
15	CD	@card@
people	NNS	people
to	TO	to
sign	VB	sign
up	RP	up
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
not	RB	not
there	RB	there
yet	RB	yet
.	SENT	.
2	LS	2
.	SENT	.
My	PP$	my
school	NN	school
does	VBZ	do
n’t	RB	n't
have	VB	have
much	JJ	much
of	IN	of
a	DT	a
party	NN	party
scene	NN	scene
.	SENT	.
We	PP	we
’re	VBP	be
next	JJ	next
to	TO	to
a	DT	a
huge	JJ	huge
university	NN	university
,	,	,
so	RB	so
everyone	NN	everyone
just	RB	just
goes	VBZ	go
there	RB	there
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
drink	VB	drink
or	CC	or
anything	NN	anything
so	IN	so
I	PP	I
avoid	VBP	avoid
parties	NNS	party
.	SENT	.
Plus	CC	plus
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
where	WRB	where
or	CC	or
when	WRB	when
they	PP	they
are	VBP	be
.	SENT	.
3	LS	3
.	SENT	.
My	PP$	my
school	NN	school
is	VBZ	be
almost	RB	almost
entirely	RB	entirely
female	JJ	female
.	SENT	.
80	CD	@card@
%	NN	%
of	IN	of
the	DT	the
student	NN	student
body	NN	body
is	VBZ	be
female	JJ	female
,	,	,
90	CD	@card@
%	NN	%
of	IN	of
my	PP$	my
school	NN	school
is	VBZ	be
female	JJ	female
,	,	,
and	CC	and
the	DT	the
few	JJ	few
males	NNS	male
there	EX	there
are	VBP	be
on	IN	on
campus	NN	campus
I	PP	I
have	VBP	have
basically	RB	basically
nothing	RB	nothing
in	IN	in
common	JJ	common
with	IN	with
.	SENT	.
I	PP	I
’m	NN	<unknown>
totally	RB	totally
cool	VB	cool
having	VBG	have
girl	NN	girl
(	(	(
space	NN	space
)	)	)
friends	NNS	friend
,	,	,
but	CC	but
I	PP	I
am	VBP	be
also	RB	also
terrified	VBN	terrify
as	IN	as
coming	VBG	come
across	RP	across
as	IN	as
a	DT	a
creep	VBP	creep
or	CC	or
romantically	RB	romantically
interested	JJ	interested
when	WRB	when
I	PP	I
’m	NN	<unknown>
not	RB	not
.	SENT	.
It	PP	it
seems	VBZ	seem
like	IN	like
I	PP	I
’m	NN	<unknown>
really	RB	really
out	RB	out
of	IN	of
options	NNS	option
here	RB	here
for	IN	for
finding	VBG	find
friends	NNS	friend
and	CC	and
the	DT	the
loneliness	NN	loneliness
has	VBZ	have
been	VBN	be
crushing	VBG	crush
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
perfect	JJ	perfect
.	SENT	.
I	PP	I
ca	MD	ca
n’t	RB	n't
be	VB	be
bad	JJ	bad
